﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
01.07.2024 00:00:00;01.07.2024 01:00:00;5151,400
01.07.2024 01:00:00;01.07.2024 02:00:00;4931,800
01.07.2024 02:00:00;01.07.2024 03:00:00;4814,300
01.07.2024 03:00:00;01.07.2024 04:00:00;4740,200
01.07.2024 04:00:00;01.07.2024 05:00:00;4886,200
01.07.2024 05:00:00;01.07.2024 06:00:00;5437,000
01.07.2024 06:00:00;01.07.2024 07:00:00;6497,500
01.07.2024 07:00:00;01.07.2024 08:00:00;7270,900
01.07.2024 08:00:00;01.07.2024 09:00:00;7756,800
01.07.2024 09:00:00;01.07.2024 10:00:00;7909,600
01.07.2024 10:00:00;01.07.2024 11:00:00;7904,700
01.07.2024 11:00:00;01.07.2024 12:00:00;7853,700
01.07.2024 12:00:00;01.07.2024 13:00:00;7819,400
01.07.2024 13:00:00;01.07.2024 14:00:00;7888,700
01.07.2024 14:00:00;01.07.2024 15:00:00;7675,500
01.07.2024 15:00:00;01.07.2024 16:00:00;7648,100
01.07.2024 16:00:00;01.07.2024 17:00:00;7590,300
01.07.2024 17:00:00;01.07.2024 18:00:00;7532,900
01.07.2024 18:00:00;01.07.2024 19:00:00;7434,200
01.07.2024 19:00:00;01.07.2024 20:00:00;7233,600
01.07.2024 20:00:00;01.07.2024 21:00:00;6959,400
01.07.2024 21:00:00;01.07.2024 22:00:00;6673,600
01.07.2024 22:00:00;01.07.2024 23:00:00;6321,600
01.07.2024 23:00:00;02.07.2024 00:00:00;5859,500
02.07.2024 00:00:00;02.07.2024 01:00:00;5552,000
02.07.2024 01:00:00;02.07.2024 02:00:00;5213,200
02.07.2024 02:00:00;02.07.2024 03:00:00;5117,900
02.07.2024 03:00:00;02.07.2024 04:00:00;5001,400
02.07.2024 04:00:00;02.07.2024 05:00:00;5078,500
02.07.2024 05:00:00;02.07.2024 06:00:00;5570,300
02.07.2024 06:00:00;02.07.2024 07:00:00;6464,500
02.07.2024 07:00:00;02.07.2024 08:00:00;6953,800
02.07.2024 08:00:00;02.07.2024 09:00:00;7233,600
02.07.2024 09:00:00;02.07.2024 10:00:00;7163,800
02.07.2024 10:00:00;02.07.2024 11:00:00;7082,600
02.07.2024 11:00:00;02.07.2024 12:00:00;7187,400
02.07.2024 12:00:00;02.07.2024 13:00:00;7187,400
02.07.2024 13:00:00;02.07.2024 14:00:00;7184,300
02.07.2024 14:00:00;02.07.2024 15:00:00;7074,400
02.07.2024 15:00:00;02.07.2024 16:00:00;7055,300
02.07.2024 16:00:00;02.07.2024 17:00:00;7084,200
02.07.2024 17:00:00;02.07.2024 18:00:00;7230,500
02.07.2024 18:00:00;02.07.2024 19:00:00;7216,200
02.07.2024 19:00:00;02.07.2024 20:00:00;7058,300
02.07.2024 20:00:00;02.07.2024 21:00:00;6800,700
02.07.2024 21:00:00;02.07.2024 22:00:00;6419,400
02.07.2024 22:00:00;02.07.2024 23:00:00;6174,900
02.07.2024 23:00:00;03.07.2024 00:00:00;5721,100
03.07.2024 00:00:00;03.07.2024 01:00:00;5421,900
03.07.2024 01:00:00;03.07.2024 02:00:00;5173,000
03.07.2024 02:00:00;03.07.2024 03:00:00;5018,000
03.07.2024 03:00:00;03.07.2024 04:00:00;4967,100
03.07.2024 04:00:00;03.07.2024 05:00:00;5070,200
03.07.2024 05:00:00;03.07.2024 06:00:00;5567,700
03.07.2024 06:00:00;03.07.2024 07:00:00;6550,300
03.07.2024 07:00:00;03.07.2024 08:00:00;7245,800
03.07.2024 08:00:00;03.07.2024 09:00:00;7658,000
03.07.2024 09:00:00;03.07.2024 10:00:00;7722,600
03.07.2024 10:00:00;03.07.2024 11:00:00;7733,700
03.07.2024 11:00:00;03.07.2024 12:00:00;7533,800
03.07.2024 12:00:00;03.07.2024 13:00:00;7153,000
03.07.2024 13:00:00;03.07.2024 14:00:00;6970,600
03.07.2024 14:00:00;03.07.2024 15:00:00;6793,900
03.07.2024 15:00:00;03.07.2024 16:00:00;6831,200
03.07.2024 16:00:00;03.07.2024 17:00:00;6887,900
03.07.2024 17:00:00;03.07.2024 18:00:00;7099,400
03.07.2024 18:00:00;03.07.2024 19:00:00;7231,700
03.07.2024 19:00:00;03.07.2024 20:00:00;7148,600
03.07.2024 20:00:00;03.07.2024 21:00:00;6905,500
03.07.2024 21:00:00;03.07.2024 22:00:00;6646,300
03.07.2024 22:00:00;03.07.2024 23:00:00;6318,100
03.07.2024 23:00:00;04.07.2024 00:00:00;5785,300
04.07.2024 00:00:00;04.07.2024 01:00:00;5499,500
04.07.2024 01:00:00;04.07.2024 02:00:00;5183,200
04.07.2024 02:00:00;04.07.2024 03:00:00;5094,500
04.07.2024 03:00:00;04.07.2024 04:00:00;4992,600
04.07.2024 04:00:00;04.07.2024 05:00:00;5108,500
04.07.2024 05:00:00;04.07.2024 06:00:00;5619,300
04.07.2024 06:00:00;04.07.2024 07:00:00;6493,100
04.07.2024 07:00:00;04.07.2024 08:00:00;7037,900
04.07.2024 08:00:00;04.07.2024 09:00:00;7318,100
04.07.2024 09:00:00;04.07.2024 10:00:00;7320,900
04.07.2024 10:00:00;04.07.2024 11:00:00;7230,400
04.07.2024 11:00:00;04.07.2024 12:00:00;7087,900
04.07.2024 12:00:00;04.07.2024 13:00:00;6871,800
04.07.2024 13:00:00;04.07.2024 14:00:00;6839,900
04.07.2024 14:00:00;04.07.2024 15:00:00;6881,900
04.07.2024 15:00:00;04.07.2024 16:00:00;6832,500
04.07.2024 16:00:00;04.07.2024 17:00:00;6697,000
04.07.2024 17:00:00;04.07.2024 18:00:00;6752,200
04.07.2024 18:00:00;04.07.2024 19:00:00;6861,700
04.07.2024 19:00:00;04.07.2024 20:00:00;6856,400
04.07.2024 20:00:00;04.07.2024 21:00:00;6735,700
