﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
06.01.2025 00:00:00;06.01.2025 01:00:00;6011,500
06.01.2025 01:00:00;06.01.2025 02:00:00;5726,500
06.01.2025 02:00:00;06.01.2025 03:00:00;5603,300
06.01.2025 03:00:00;06.01.2025 04:00:00;5509,300
06.01.2025 04:00:00;06.01.2025 05:00:00;5560,800
06.01.2025 05:00:00;06.01.2025 06:00:00;5762,800
06.01.2025 06:00:00;06.01.2025 07:00:00;6013,600
06.01.2025 07:00:00;06.01.2025 08:00:00;6438,900
06.01.2025 08:00:00;06.01.2025 09:00:00;6858,900
06.01.2025 09:00:00;06.01.2025 10:00:00;7152,600
06.01.2025 10:00:00;06.01.2025 11:00:00;7355,100
06.01.2025 11:00:00;06.01.2025 12:00:00;7455,300
06.01.2025 12:00:00;06.01.2025 13:00:00;7369,300
06.01.2025 13:00:00;06.01.2025 14:00:00;7125,500
06.01.2025 14:00:00;06.01.2025 15:00:00;6980,500
06.01.2025 15:00:00;06.01.2025 16:00:00;7072,100
06.01.2025 16:00:00;06.01.2025 17:00:00;7441,300
06.01.2025 17:00:00;06.01.2025 18:00:00;7742,700
06.01.2025 18:00:00;06.01.2025 19:00:00;7713,900
06.01.2025 19:00:00;06.01.2025 20:00:00;7498,200
06.01.2025 20:00:00;06.01.2025 21:00:00;7093,400
06.01.2025 21:00:00;06.01.2025 22:00:00;6699,300
06.01.2025 22:00:00;06.01.2025 23:00:00;6623,200
06.01.2025 23:00:00;07.01.2025 00:00:00;6235,100
07.01.2025 00:00:00;07.01.2025 01:00:00;6063,800
07.01.2025 01:00:00;07.01.2025 02:00:00;5796,000
07.01.2025 02:00:00;07.01.2025 03:00:00;5717,100
07.01.2025 03:00:00;07.01.2025 04:00:00;5623,400
07.01.2025 04:00:00;07.01.2025 05:00:00;5808,900
07.01.2025 05:00:00;07.01.2025 06:00:00;6587,000
07.01.2025 06:00:00;07.01.2025 07:00:00;7813,400
07.01.2025 07:00:00;07.01.2025 08:00:00;8854,400
07.01.2025 08:00:00;07.01.2025 09:00:00;9401,700
07.01.2025 09:00:00;07.01.2025 10:00:00;9538,300
07.01.2025 10:00:00;07.01.2025 11:00:00;9631,900
07.01.2025 11:00:00;07.01.2025 12:00:00;9622,000
07.01.2025 12:00:00;07.01.2025 13:00:00;9544,300
07.01.2025 13:00:00;07.01.2025 14:00:00;9497,900
07.01.2025 14:00:00;07.01.2025 15:00:00;9352,900
07.01.2025 15:00:00;07.01.2025 16:00:00;9319,600
07.01.2025 16:00:00;07.01.2025 17:00:00;9350,900
07.01.2025 17:00:00;07.01.2025 18:00:00;9410,000
07.01.2025 18:00:00;07.01.2025 19:00:00;9234,400
07.01.2025 19:00:00;07.01.2025 20:00:00;8755,300
07.01.2025 20:00:00;07.01.2025 21:00:00;8277,900
07.01.2025 21:00:00;07.01.2025 22:00:00;7680,100
07.01.2025 22:00:00;07.01.2025 23:00:00;7433,200
07.01.2025 23:00:00;08.01.2025 00:00:00;6921,200
08.01.2025 00:00:00;08.01.2025 01:00:00;6698,800
08.01.2025 01:00:00;08.01.2025 02:00:00;6446,000
08.01.2025 02:00:00;08.01.2025 03:00:00;6317,700
08.01.2025 03:00:00;08.01.2025 04:00:00;6253,900
08.01.2025 04:00:00;08.01.2025 05:00:00;6492,600
08.01.2025 05:00:00;08.01.2025 06:00:00;7169,100
08.01.2025 06:00:00;08.01.2025 07:00:00;8316,000
08.01.2025 07:00:00;08.01.2025 08:00:00;9184,300
08.01.2025 08:00:00;08.01.2025 09:00:00;9436,700
08.01.2025 09:00:00;08.01.2025 10:00:00;9390,000
08.01.2025 10:00:00;08.01.2025 11:00:00;9200,000
08.01.2025 11:00:00;08.01.2025 12:00:00;8902,500
08.01.2025 12:00:00;08.01.2025 13:00:00;8708,800
08.01.2025 13:00:00;08.01.2025 14:00:00;8685,200
08.01.2025 14:00:00;08.01.2025 15:00:00;8715,100
08.01.2025 15:00:00;08.01.2025 16:00:00;8902,300
08.01.2025 16:00:00;08.01.2025 17:00:00;9144,200
08.01.2025 17:00:00;08.01.2025 18:00:00;9250,600
08.01.2025 18:00:00;08.01.2025 19:00:00;9084,800
08.01.2025 19:00:00;08.01.2025 20:00:00;8766,200
08.01.2025 20:00:00;08.01.2025 21:00:00;8209,800
