﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamt (inklusive anderer Generationstypen) [MW];Wind [MW];Solar [MW]
02.09.2024 00:00:00;02.09.2024 01:00:00;3143,200;376,000;0,000
02.09.2024 01:00:00;02.09.2024 02:00:00;3018,600;275,000;0,000
02.09.2024 02:00:00;02.09.2024 03:00:00;2907,000;217,000;0,000
02.09.2024 03:00:00;02.09.2024 04:00:00;2864,700;213,000;0,000
02.09.2024 04:00:00;02.09.2024 05:00:00;2966,300;222,000;0,000
02.09.2024 05:00:00;02.09.2024 06:00:00;3173,300;224,000;0,000
02.09.2024 06:00:00;02.09.2024 07:00:00;5360,600;212,000;74,000
02.09.2024 07:00:00;02.09.2024 08:00:00;6363,700;196,000;311,000
02.09.2024 08:00:00;02.09.2024 09:00:00;5906,600;144,000;867,000
02.09.2024 09:00:00;02.09.2024 10:00:00;4118,600;91,000;1664,000
02.09.2024 10:00:00;02.09.2024 11:00:00;3776,800;112,000;2360,000
02.09.2024 11:00:00;02.09.2024 12:00:00;3815,000;176,000;2830,000
02.09.2024 12:00:00;02.09.2024 13:00:00;3829,200;250,000;3236,000
02.09.2024 13:00:00;02.09.2024 14:00:00;3861,300;350,000;3309,000
02.09.2024 14:00:00;02.09.2024 15:00:00;3889,400;472,000;3088,000
02.09.2024 15:00:00;02.09.2024 16:00:00;3778,600;531,000;2614,000
02.09.2024 16:00:00;02.09.2024 17:00:00;4222,200;511,000;1920,000
02.09.2024 17:00:00;02.09.2024 18:00:00;5188,300;463,000;1082,000
02.09.2024 18:00:00;02.09.2024 19:00:00;6452,300;450,000;445,000
02.09.2024 19:00:00;02.09.2024 20:00:00;6938,000;540,000;125,000
02.09.2024 20:00:00;02.09.2024 21:00:00;7109,100;624,000;0,000
02.09.2024 21:00:00;02.09.2024 22:00:00;5452,100;618,000;0,000
02.09.2024 22:00:00;02.09.2024 23:00:00;4392,500;560,000;0,000
02.09.2024 23:00:00;03.09.2024 00:00:00;4016,800;484,000;0,000
03.09.2024 00:00:00;03.09.2024 01:00:00;3516,700;440,000;0,000
03.09.2024 01:00:00;03.09.2024 02:00:00;3192,600;398,000;0,000
03.09.2024 02:00:00;03.09.2024 03:00:00;3225,100;362,000;0,000
03.09.2024 03:00:00;03.09.2024 04:00:00;3167,000;355,000;0,000
03.09.2024 04:00:00;03.09.2024 05:00:00;3198,300;360,000;0,000
03.09.2024 05:00:00;03.09.2024 06:00:00;3655,200;346,000;0,000
03.09.2024 06:00:00;03.09.2024 07:00:00;6187,100;334,000;73,000
03.09.2024 07:00:00;03.09.2024 08:00:00;6855,700;311,000;366,000
03.09.2024 08:00:00;03.09.2024 09:00:00;6332,400;245,000;1051,000
03.09.2024 09:00:00;03.09.2024 10:00:00;4459,100;170,000;1983,000
03.09.2024 10:00:00;03.09.2024 11:00:00;3850,400;164,000;2791,000
03.09.2024 11:00:00;03.09.2024 12:00:00;3824,800;237,000;3313,000
03.09.2024 12:00:00;03.09.2024 13:00:00;3909,700;315,000;3650,000
03.09.2024 13:00:00;03.09.2024 14:00:00;3901,000;363,000;3617,000
03.09.2024 14:00:00;03.09.2024 15:00:00;3823,500;363,000;3388,000
03.09.2024 15:00:00;03.09.2024 16:00:00;3778,400;326,000;2890,000
03.09.2024 16:00:00;03.09.2024 17:00:00;4950,200;279,000;2130,000
03.09.2024 17:00:00;03.09.2024 18:00:00;6061,100;244,000;1199,000
03.09.2024 18:00:00;03.09.2024 19:00:00;6873,300;235,000;487,000
03.09.2024 19:00:00;03.09.2024 20:00:00;6895,900;273,000;130,000
03.09.2024 20:00:00;03.09.2024 21:00:00;7002,600;327,000;0,000
03.09.2024 21:00:00;03.09.2024 22:00:00;6927,400;413,000;0,000
03.09.2024 22:00:00;03.09.2024 23:00:00;5965,200;435,000;0,000
03.09.2024 23:00:00;04.09.2024 00:00:00;4029,100;364,000;0,000
04.09.2024 00:00:00;04.09.2024 01:00:00;3751,600;278,000;0,000
04.09.2024 01:00:00;04.09.2024 02:00:00;3335,300;256,000;0,000
04.09.2024 02:00:00;04.09.2024 03:00:00;3361,400;274,000;0,000
04.09.2024 03:00:00;04.09.2024 04:00:00;3350,000;279,000;0,000
04.09.2024 04:00:00;04.09.2024 05:00:00;3343,600;310,000;0,000
04.09.2024 05:00:00;04.09.2024 06:00:00;3766,100;337,000;0,000
04.09.2024 06:00:00;04.09.2024 07:00:00;6580,700;383,000;68,000
04.09.2024 07:00:00;04.09.2024 08:00:00;6988,400;413,000;358,000
04.09.2024 08:00:00;04.09.2024 09:00:00;6985,200;372,000;1023,000
04.09.2024 09:00:00;04.09.2024 10:00:00;4625,900;315,000;1928,000
04.09.2024 10:00:00;04.09.2024 11:00:00;4094,600;212,000;2707,000
04.09.2024 11:00:00;04.09.2024 12:00:00;4039,600;266,000;3223,000
04.09.2024 12:00:00;04.09.2024 13:00:00;4082,600;307,000;3535,000
04.09.2024 13:00:00;04.09.2024 14:00:00;3902,300;351,000;3530,000
04.09.2024 14:00:00;04.09.2024 15:00:00;3911,800;378,000;3316,000
04.09.2024 15:00:00;04.09.2024 16:00:00;3763,500;377,000;2826,000
04.09.2024 16:00:00;04.09.2024 17:00:00;4929,500;344,000;2082,000
04.09.2024 17:00:00;04.09.2024 18:00:00;6022,800;300,000;1150,000
04.09.2024 18:00:00;04.09.2024 19:00:00;6891,600;284,000;458,000
04.09.2024 19:00:00;04.09.2024 20:00:00;6440,600;350,000;119,000
04.09.2024 20:00:00;04.09.2024 21:00:00;6943,400;484,000;0,000
04.09.2024 21:00:00;04.09.2024 22:00:00;4804,900;647,000;0,000
04.09.2024 22:00:00;04.09.2024 23:00:00;4421,300;773,000;0,000
04.09.2024 23:00:00;05.09.2024 00:00:00;4034,500;794,000;0,000
05.09.2024 00:00:00;05.09.2024 01:00:00;3915,800;777,000;0,000
05.09.2024 01:00:00;05.09.2024 02:00:00;3535,000;738,000;0,000
05.09.2024 02:00:00;05.09.2024 03:00:00;3289,400;721,000;0,000
05.09.2024 03:00:00;05.09.2024 04:00:00;3291,700;817,000;0,000
05.09.2024 04:00:00;05.09.2024 05:00:00;3375,100;930,000;0,000
05.09.2024 05:00:00;05.09.2024 06:00:00;3783,600;1034,000;0,000
05.09.2024 06:00:00;05.09.2024 07:00:00;5770,100;1088,000;63,000
05.09.2024 07:00:00;05.09.2024 08:00:00;5921,400;1039,000;297,000
05.09.2024 08:00:00;05.09.2024 09:00:00;4896,100;825,000;857,000
05.09.2024 09:00:00;05.09.2024 10:00:00;4058,100;728,000;1728,000
05.09.2024 10:00:00;05.09.2024 11:00:00;4017,000;786,000;2469,000
05.09.2024 11:00:00;05.09.2024 12:00:00;3962,800;813,000;2922,000
05.09.2024 12:00:00;05.09.2024 13:00:00;4016,100;834,000;3341,000
05.09.2024 13:00:00;05.09.2024 14:00:00;4057,600;876,000;3492,000
05.09.2024 14:00:00;05.09.2024 15:00:00;4268,000;914,000;3313,000
05.09.2024 15:00:00;05.09.2024 16:00:00;4654,900;938,000;2806,000
05.09.2024 16:00:00;05.09.2024 17:00:00;6027,700;974,000;2048,000
05.09.2024 17:00:00;05.09.2024 18:00:00;6613,100;1034,000;1125,000
05.09.2024 18:00:00;05.09.2024 19:00:00;7355,100;1131,000;449,000
05.09.2024 19:00:00;05.09.2024 20:00:00;7466,300;1287,000;107,000
05.09.2024 20:00:00;05.09.2024 21:00:00;6883,400;1418,000;0,000
05.09.2024 21:00:00;05.09.2024 22:00:00;5850,500;1514,000;0,000
05.09.2024 22:00:00;05.09.2024 23:00:00;4461,200;1496,000;0,000
05.09.2024 23:00:00;06.09.2024 00:00:00;3794,300;1372,000;0,000
06.09.2024 00:00:00;06.09.2024 01:00:00;3453,200;1252,000;0,000
06.09.2024 01:00:00;06.09.2024 02:00:00;3333,100;1076,000;0,000
06.09.2024 02:00:00;06.09.2024 03:00:00;3079,800;933,000;0,000
06.09.2024 03:00:00;06.09.2024 04:00:00;3128,100;874,000;0,000
06.09.2024 04:00:00;06.09.2024 05:00:00;2906,600;786,000;0,000
06.09.2024 05:00:00;06.09.2024 06:00:00;3498,800;718,000;0,000
06.09.2024 06:00:00;06.09.2024 07:00:00;5227,700;678,000;59,000
06.09.2024 07:00:00;06.09.2024 08:00:00;6148,100;619,000;250,000
06.09.2024 08:00:00;06.09.2024 09:00:00;5535,200;485,000;678,000
06.09.2024 09:00:00;06.09.2024 10:00:00;3845,600;360,000;1360,000
06.09.2024 10:00:00;06.09.2024 11:00:00;3269,300;314,000;2039,000
