﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
03.06.2024 00:00:00;03.06.2024 01:00:00;4990,400
03.06.2024 01:00:00;03.06.2024 02:00:00;4722,100
03.06.2024 02:00:00;03.06.2024 03:00:00;4607,500
03.06.2024 03:00:00;03.06.2024 04:00:00;4547,500
03.06.2024 04:00:00;03.06.2024 05:00:00;4722,900
03.06.2024 05:00:00;03.06.2024 06:00:00;5354,700
03.06.2024 06:00:00;03.06.2024 07:00:00;6430,300
03.06.2024 07:00:00;03.06.2024 08:00:00;7130,000
03.06.2024 08:00:00;03.06.2024 09:00:00;7594,800
03.06.2024 09:00:00;03.06.2024 10:00:00;7814,000
03.06.2024 10:00:00;03.06.2024 11:00:00;7833,400
03.06.2024 11:00:00;03.06.2024 12:00:00;7851,200
03.06.2024 12:00:00;03.06.2024 13:00:00;7748,300
03.06.2024 13:00:00;03.06.2024 14:00:00;7832,800
03.06.2024 14:00:00;03.06.2024 15:00:00;7780,600
03.06.2024 15:00:00;03.06.2024 16:00:00;7588,900
03.06.2024 16:00:00;03.06.2024 17:00:00;7439,200
03.06.2024 17:00:00;03.06.2024 18:00:00;7447,900
03.06.2024 18:00:00;03.06.2024 19:00:00;7388,800
03.06.2024 19:00:00;03.06.2024 20:00:00;7207,200
03.06.2024 20:00:00;03.06.2024 21:00:00;6952,700
03.06.2024 21:00:00;03.06.2024 22:00:00;6569,100
03.06.2024 22:00:00;03.06.2024 23:00:00;6222,700
03.06.2024 23:00:00;04.06.2024 00:00:00;5798,500
04.06.2024 00:00:00;04.06.2024 01:00:00;5452,300
04.06.2024 01:00:00;04.06.2024 02:00:00;5183,500
04.06.2024 02:00:00;04.06.2024 03:00:00;5076,100
04.06.2024 03:00:00;04.06.2024 04:00:00;4991,100
04.06.2024 04:00:00;04.06.2024 05:00:00;5123,100
04.06.2024 05:00:00;04.06.2024 06:00:00;5747,500
04.06.2024 06:00:00;04.06.2024 07:00:00;6783,000
04.06.2024 07:00:00;04.06.2024 08:00:00;7384,000
04.06.2024 08:00:00;04.06.2024 09:00:00;7680,000
04.06.2024 09:00:00;04.06.2024 10:00:00;7551,800
04.06.2024 10:00:00;04.06.2024 11:00:00;7314,000
04.06.2024 11:00:00;04.06.2024 12:00:00;7251,400
04.06.2024 12:00:00;04.06.2024 13:00:00;7000,500
04.06.2024 13:00:00;04.06.2024 14:00:00;6848,100
04.06.2024 14:00:00;04.06.2024 15:00:00;6618,500
04.06.2024 15:00:00;04.06.2024 16:00:00;6497,100
04.06.2024 16:00:00;04.06.2024 17:00:00;6428,900
04.06.2024 17:00:00;04.06.2024 18:00:00;6505,200
04.06.2024 18:00:00;04.06.2024 19:00:00;6677,700
04.06.2024 19:00:00;04.06.2024 20:00:00;6854,600
04.06.2024 20:00:00;04.06.2024 21:00:00;6805,000
04.06.2024 21:00:00;04.06.2024 22:00:00;6584,200
04.06.2024 22:00:00;04.06.2024 23:00:00;6258,900
04.06.2024 23:00:00;05.06.2024 00:00:00;5769,500
05.06.2024 00:00:00;05.06.2024 01:00:00;5502,300
05.06.2024 01:00:00;05.06.2024 02:00:00;5168,200
05.06.2024 02:00:00;05.06.2024 03:00:00;5067,100
05.06.2024 03:00:00;05.06.2024 04:00:00;5000,000
05.06.2024 04:00:00;05.06.2024 05:00:00;5125,200
05.06.2024 05:00:00;05.06.2024 06:00:00;5625,000
05.06.2024 06:00:00;05.06.2024 07:00:00;6554,600
05.06.2024 07:00:00;05.06.2024 08:00:00;7006,500
05.06.2024 08:00:00;05.06.2024 09:00:00;7093,800
05.06.2024 09:00:00;05.06.2024 10:00:00;6930,800
05.06.2024 10:00:00;05.06.2024 11:00:00;6889,700
05.06.2024 11:00:00;05.06.2024 12:00:00;6896,900
05.06.2024 12:00:00;05.06.2024 13:00:00;6846,100
05.06.2024 13:00:00;05.06.2024 14:00:00;6778,800
05.06.2024 14:00:00;05.06.2024 15:00:00;6677,800
05.06.2024 15:00:00;05.06.2024 16:00:00;6587,500
05.06.2024 16:00:00;05.06.2024 17:00:00;6662,200
