﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamt (inklusive anderer Generationstypen) [MW];Wind [MW];Solar [MW]
03.06.2024 00:00:00;03.06.2024 01:00:00;6601,300;378,000;0,000
03.06.2024 01:00:00;03.06.2024 02:00:00;5697,300;355,000;0,000
03.06.2024 02:00:00;03.06.2024 03:00:00;5645,800;308,000;0,000
03.06.2024 03:00:00;03.06.2024 04:00:00;5597,600;272,000;0,000
03.06.2024 04:00:00;03.06.2024 05:00:00;5588,000;225,000;0,000
03.06.2024 05:00:00;03.06.2024 06:00:00;7099,400;186,000;118,000
03.06.2024 06:00:00;03.06.2024 07:00:00;7494,300;135,000;239,000
03.06.2024 07:00:00;03.06.2024 08:00:00;7563,500;90,000;510,000
03.06.2024 08:00:00;03.06.2024 09:00:00;7608,400;63,000;881,000
03.06.2024 09:00:00;03.06.2024 10:00:00;7513,400;45,000;1188,000
03.06.2024 10:00:00;03.06.2024 11:00:00;7144,900;38,000;1506,000
03.06.2024 11:00:00;03.06.2024 12:00:00;7120,800;33,000;1865,000
03.06.2024 12:00:00;03.06.2024 13:00:00;6074,700;36,000;2259,000
03.06.2024 13:00:00;03.06.2024 14:00:00;5846,400;34,000;2674,000
03.06.2024 14:00:00;03.06.2024 15:00:00;5772,000;39,000;2610,000
03.06.2024 15:00:00;03.06.2024 16:00:00;5862,400;53,000;2313,000
03.06.2024 16:00:00;03.06.2024 17:00:00;5956,600;66,000;1900,000
03.06.2024 17:00:00;03.06.2024 18:00:00;7168,600;111,000;1378,000
03.06.2024 18:00:00;03.06.2024 19:00:00;7632,400;172,000;796,000
03.06.2024 19:00:00;03.06.2024 20:00:00;7798,700;223,000;364,000
03.06.2024 20:00:00;03.06.2024 21:00:00;7788,800;316,000;158,000
03.06.2024 21:00:00;03.06.2024 22:00:00;7877,700;472,000;0,000
03.06.2024 22:00:00;03.06.2024 23:00:00;7808,100;642,000;0,000
03.06.2024 23:00:00;04.06.2024 00:00:00;7501,600;851,000;0,000
04.06.2024 00:00:00;04.06.2024 01:00:00;6785,300;1049,000;0,000
04.06.2024 01:00:00;04.06.2024 02:00:00;6151,600;1223,000;0,000
04.06.2024 02:00:00;04.06.2024 03:00:00;6181,000;1452,000;0,000
04.06.2024 03:00:00;04.06.2024 04:00:00;6230,100;1705,000;0,000
04.06.2024 04:00:00;04.06.2024 05:00:00;6248,100;1912,000;0,000
04.06.2024 05:00:00;04.06.2024 06:00:00;6691,200;2031,000;118,000
04.06.2024 06:00:00;04.06.2024 07:00:00;7400,800;1977,000;242,000
04.06.2024 07:00:00;04.06.2024 08:00:00;7437,300;1912,000;574,000
04.06.2024 08:00:00;04.06.2024 09:00:00;7477,000;1798,000;1122,000
04.06.2024 09:00:00;04.06.2024 10:00:00;7268,800;1725,000;1691,000
04.06.2024 10:00:00;04.06.2024 11:00:00;6195,000;1561,000;2314,000
04.06.2024 11:00:00;04.06.2024 12:00:00;6191,200;1327,000;2743,000
04.06.2024 12:00:00;04.06.2024 13:00:00;5985,600;1076,000;3238,000
04.06.2024 13:00:00;04.06.2024 14:00:00;5766,300;837,000;3579,000
04.06.2024 14:00:00;04.06.2024 15:00:00;5640,800;634,000;3457,000
04.06.2024 15:00:00;04.06.2024 16:00:00;5525,600;491,000;3090,000
04.06.2024 16:00:00;04.06.2024 17:00:00;5605,200;424,000;2552,000
04.06.2024 17:00:00;04.06.2024 18:00:00;5540,800;307,000;1810,000
04.06.2024 18:00:00;04.06.2024 19:00:00;6641,600;184,000;1007,000
04.06.2024 19:00:00;04.06.2024 20:00:00;6907,800;103,000;439,000
04.06.2024 20:00:00;04.06.2024 21:00:00;6883,400;69,000;179,000
04.06.2024 21:00:00;04.06.2024 22:00:00;6817,700;46,000;0,000
04.06.2024 22:00:00;04.06.2024 23:00:00;6320,500;43,000;0,000
04.06.2024 23:00:00;05.06.2024 00:00:00;5188,600;45,000;0,000
05.06.2024 00:00:00;05.06.2024 01:00:00;4639,900;53,000;0,000
05.06.2024 01:00:00;05.06.2024 02:00:00;4474,300;62,000;0,000
05.06.2024 02:00:00;05.06.2024 03:00:00;4472,800;64,000;0,000
05.06.2024 03:00:00;05.06.2024 04:00:00;4456,800;62,000;0,000
05.06.2024 04:00:00;05.06.2024 05:00:00;4666,300;58,000;0,000
