﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamt (inklusive anderer Generationstypen) [MW];Wind [MW];Solar [MW]
03.03.2025 00:00:00;03.03.2025 01:00:00;3497,100;767,000;0,000
03.03.2025 01:00:00;03.03.2025 02:00:00;3374,500;653,000;0,000
03.03.2025 02:00:00;03.03.2025 03:00:00;3336,000;507,000;0,000
03.03.2025 03:00:00;03.03.2025 04:00:00;3285,700;369,000;0,000
03.03.2025 04:00:00;03.03.2025 05:00:00;3320,900;293,000;0,000
03.03.2025 05:00:00;03.03.2025 06:00:00;3762,600;273,000;0,000
03.03.2025 06:00:00;03.03.2025 07:00:00;6069,100;267,000;20,000
03.03.2025 07:00:00;03.03.2025 08:00:00;6830,900;251,000;264,000
03.03.2025 08:00:00;03.03.2025 09:00:00;6447,200;177,000;848,000
03.03.2025 09:00:00;03.03.2025 10:00:00;4463,100;88,000;1571,000
03.03.2025 10:00:00;03.03.2025 11:00:00;3966,600;40,000;2165,000
03.03.2025 11:00:00;03.03.2025 12:00:00;3776,400;33,000;2540,000
03.03.2025 12:00:00;03.03.2025 13:00:00;3628,600;30,000;2636,000
03.03.2025 13:00:00;03.03.2025 14:00:00;3503,600;31,000;2473,000
03.03.2025 14:00:00;03.03.2025 15:00:00;3554,600;34,000;2054,000
03.03.2025 15:00:00;03.03.2025 16:00:00;3881,700;36,000;1212,000
03.03.2025 16:00:00;03.03.2025 17:00:00;5009,500;37,000;478,000
03.03.2025 17:00:00;03.03.2025 18:00:00;7062,900;27,000;119,000
03.03.2025 18:00:00;03.03.2025 19:00:00;7328,700;26,000;0,000
03.03.2025 19:00:00;03.03.2025 20:00:00;7232,500;27,000;0,000
03.03.2025 20:00:00;03.03.2025 21:00:00;6727,800;24,000;0,000
03.03.2025 21:00:00;03.03.2025 22:00:00;5887,900;32,000;0,000
03.03.2025 22:00:00;03.03.2025 23:00:00;4485,200;46,000;0,000
03.03.2025 23:00:00;04.03.2025 00:00:00;4339,400;54,000;0,000
04.03.2025 00:00:00;04.03.2025 01:00:00;3608,500;50,000;0,000
04.03.2025 01:00:00;04.03.2025 02:00:00;3371,100;51,000;0,000
04.03.2025 02:00:00;04.03.2025 03:00:00;3355,800;69,000;0,000
04.03.2025 03:00:00;04.03.2025 04:00:00;3348,600;82,000;0,000
04.03.2025 04:00:00;04.03.2025 05:00:00;3437,000;80,000;0,000
04.03.2025 05:00:00;04.03.2025 06:00:00;4393,200;62,000;0,000
04.03.2025 06:00:00;04.03.2025 07:00:00;6128,700;51,000;23,000
04.03.2025 07:00:00;04.03.2025 08:00:00;6387,200;41,000;271,000
04.03.2025 08:00:00;04.03.2025 09:00:00;5965,400;34,000;857,000
04.03.2025 09:00:00;04.03.2025 10:00:00;4447,700;27,000;1583,000
04.03.2025 10:00:00;04.03.2025 11:00:00;3937,600;20,000;2183,000
04.03.2025 11:00:00;04.03.2025 12:00:00;3857,000;20,000;2565,000
04.03.2025 12:00:00;04.03.2025 13:00:00;3624,400;23,000;2661,000
04.03.2025 13:00:00;04.03.2025 14:00:00;3495,300;21,000;2498,000
04.03.2025 14:00:00;04.03.2025 15:00:00;3311,400;20,000;1969,000
04.03.2025 15:00:00;04.03.2025 16:00:00;3377,800;23,000;1076,000
04.03.2025 16:00:00;04.03.2025 17:00:00;4971,800;24,000;431,000
04.03.2025 17:00:00;04.03.2025 18:00:00;6889,000;27,000;117,000
04.03.2025 18:00:00;04.03.2025 19:00:00;7492,300;28,000;0,000
04.03.2025 19:00:00;04.03.2025 20:00:00;7251,400;36,000;0,000
04.03.2025 20:00:00;04.03.2025 21:00:00;6603,800;40,000;0,000
04.03.2025 21:00:00;04.03.2025 22:00:00;5344,600;46,000;0,000
04.03.2025 22:00:00;04.03.2025 23:00:00;4665,900;55,000;0,000
04.03.2025 23:00:00;05.03.2025 00:00:00;3945,100;75,000;0,000
05.03.2025 00:00:00;05.03.2025 01:00:00;3344,200;88,000;0,000
05.03.2025 01:00:00;05.03.2025 02:00:00;3112,600;88,000;0,000
05.03.2025 02:00:00;05.03.2025 03:00:00;2968,900;90,000;0,000
05.03.2025 03:00:00;05.03.2025 04:00:00;2982,000;99,000;0,000
05.03.2025 04:00:00;05.03.2025 05:00:00;3007,200;119,000;0,000
05.03.2025 05:00:00;05.03.2025 06:00:00;3411,700;147,000;0,000
05.03.2025 06:00:00;05.03.2025 07:00:00;5673,400;158,000;27,000
05.03.2025 07:00:00;05.03.2025 08:00:00;5987,100;160,000;286,000
05.03.2025 08:00:00;05.03.2025 09:00:00;4214,200;138,000;894,000
05.03.2025 09:00:00;05.03.2025 10:00:00;3438,300;87,000;1641,000
05.03.2025 10:00:00;05.03.2025 11:00:00;3417,800;61,000;2248,000
05.03.2025 11:00:00;05.03.2025 12:00:00;3521,400;81,000;2635,000
05.03.2025 12:00:00;05.03.2025 13:00:00;3555,500;99,000;2729,000
05.03.2025 13:00:00;05.03.2025 14:00:00;3474,800;135,000;2558,000
05.03.2025 14:00:00;05.03.2025 15:00:00;3398,500;197,000;2143,000
05.03.2025 15:00:00;05.03.2025 16:00:00;3383,600;285,000;1297,000
05.03.2025 16:00:00;05.03.2025 17:00:00;4006,200;422,000;516,000
05.03.2025 17:00:00;05.03.2025 18:00:00;6284,800;644,000;132,000
05.03.2025 18:00:00;05.03.2025 19:00:00;6775,800;999,000;0,000
05.03.2025 19:00:00;05.03.2025 20:00:00;6910,400;1371,000;0,000
05.03.2025 20:00:00;05.03.2025 21:00:00;6338,200;1639,000;0,000
05.03.2025 21:00:00;05.03.2025 22:00:00;4811,400;1817,000;0,000
05.03.2025 22:00:00;05.03.2025 23:00:00;4447,400;1961,000;0,000
