﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
01.04.2024 00:00:00;01.04.2024 01:00:00;4821,000
01.04.2024 01:00:00;01.04.2024 02:00:00;4594,400
01.04.2024 02:00:00;01.04.2024 03:00:00;4515,100
01.04.2024 03:00:00;01.04.2024 04:00:00;4414,200
01.04.2024 04:00:00;01.04.2024 05:00:00;4478,400
01.04.2024 05:00:00;01.04.2024 06:00:00;4625,800
01.04.2024 06:00:00;01.04.2024 07:00:00;4922,000
01.04.2024 07:00:00;01.04.2024 08:00:00;5063,100
01.04.2024 08:00:00;01.04.2024 09:00:00;5269,200
01.04.2024 09:00:00;01.04.2024 10:00:00;5484,000
01.04.2024 10:00:00;01.04.2024 11:00:00;5537,100
01.04.2024 11:00:00;01.04.2024 12:00:00;5692,000
01.04.2024 12:00:00;01.04.2024 13:00:00;5711,200
01.04.2024 13:00:00;01.04.2024 14:00:00;5602,000
01.04.2024 14:00:00;01.04.2024 15:00:00;5523,500
01.04.2024 15:00:00;01.04.2024 16:00:00;5599,800
01.04.2024 16:00:00;01.04.2024 17:00:00;5698,300
01.04.2024 17:00:00;01.04.2024 18:00:00;5903,600
01.04.2024 18:00:00;01.04.2024 19:00:00;6237,100
01.04.2024 19:00:00;01.04.2024 20:00:00;6419,200
01.04.2024 20:00:00;01.04.2024 21:00:00;6202,000
01.04.2024 21:00:00;01.04.2024 22:00:00;5880,600
01.04.2024 22:00:00;01.04.2024 23:00:00;5759,900
01.04.2024 23:00:00;02.04.2024 00:00:00;5391,700
02.04.2024 00:00:00;02.04.2024 01:00:00;5185,600
02.04.2024 01:00:00;02.04.2024 02:00:00;4934,500
02.04.2024 02:00:00;02.04.2024 03:00:00;4792,100
02.04.2024 03:00:00;02.04.2024 04:00:00;4765,400
02.04.2024 04:00:00;02.04.2024 05:00:00;4984,800
02.04.2024 05:00:00;02.04.2024 06:00:00;5689,900
02.04.2024 06:00:00;02.04.2024 07:00:00;6989,300
02.04.2024 07:00:00;02.04.2024 08:00:00;7838,800
02.04.2024 08:00:00;02.04.2024 09:00:00;8058,800
02.04.2024 09:00:00;02.04.2024 10:00:00;7820,100
02.04.2024 10:00:00;02.04.2024 11:00:00;7579,900
02.04.2024 11:00:00;02.04.2024 12:00:00;7672,400
02.04.2024 12:00:00;02.04.2024 13:00:00;7441,300
02.04.2024 13:00:00;02.04.2024 14:00:00;7346,100
02.04.2024 14:00:00;02.04.2024 15:00:00;7017,000
02.04.2024 15:00:00;02.04.2024 16:00:00;6946,100
02.04.2024 16:00:00;02.04.2024 17:00:00;6865,200
02.04.2024 17:00:00;02.04.2024 18:00:00;6956,100
02.04.2024 18:00:00;02.04.2024 19:00:00;7146,700
02.04.2024 19:00:00;02.04.2024 20:00:00;7511,700
02.04.2024 20:00:00;02.04.2024 21:00:00;7328,800
02.04.2024 21:00:00;02.04.2024 22:00:00;6809,600
02.04.2024 22:00:00;02.04.2024 23:00:00;6484,000
02.04.2024 23:00:00;03.04.2024 00:00:00;6067,700
03.04.2024 00:00:00;03.04.2024 01:00:00;5757,300
03.04.2024 01:00:00;03.04.2024 02:00:00;5489,100
03.04.2024 02:00:00;03.04.2024 03:00:00;5365,200
03.04.2024 03:00:00;03.04.2024 04:00:00;5310,600
03.04.2024 04:00:00;03.04.2024 05:00:00;5530,400
03.04.2024 05:00:00;03.04.2024 06:00:00;6228,900
03.04.2024 06:00:00;03.04.2024 07:00:00;7342,600
03.04.2024 07:00:00;03.04.2024 08:00:00;7773,300
03.04.2024 08:00:00;03.04.2024 09:00:00;7765,500
03.04.2024 09:00:00;03.04.2024 10:00:00;7588,900
03.04.2024 10:00:00;03.04.2024 11:00:00;7391,000
03.04.2024 11:00:00;03.04.2024 12:00:00;7361,500
03.04.2024 12:00:00;03.04.2024 13:00:00;7272,800
03.04.2024 13:00:00;03.04.2024 14:00:00;7421,600
03.04.2024 14:00:00;03.04.2024 15:00:00;7382,000
03.04.2024 15:00:00;03.04.2024 16:00:00;7389,400
03.04.2024 16:00:00;03.04.2024 17:00:00;7316,000
03.04.2024 17:00:00;03.04.2024 18:00:00;7359,500
03.04.2024 18:00:00;03.04.2024 19:00:00;7525,800
03.04.2024 19:00:00;03.04.2024 20:00:00;7661,900
03.04.2024 20:00:00;03.04.2024 21:00:00;7416,800
03.04.2024 21:00:00;03.04.2024 22:00:00;6874,000
03.04.2024 22:00:00;03.04.2024 23:00:00;6581,000
03.04.2024 23:00:00;04.04.2024 00:00:00;6104,500
04.04.2024 00:00:00;04.04.2024 01:00:00;5775,900
04.04.2024 01:00:00;04.04.2024 02:00:00;5487,400
04.04.2024 02:00:00;04.04.2024 03:00:00;5366,900
04.04.2024 03:00:00;04.04.2024 04:00:00;5283,200
04.04.2024 04:00:00;04.04.2024 05:00:00;5412,400
04.04.2024 05:00:00;04.04.2024 06:00:00;6136,600
04.04.2024 06:00:00;04.04.2024 07:00:00;7274,100
04.04.2024 07:00:00;04.04.2024 08:00:00;7886,000
04.04.2024 08:00:00;04.04.2024 09:00:00;8165,700
04.04.2024 09:00:00;04.04.2024 10:00:00;7935,100
04.04.2024 10:00:00;04.04.2024 11:00:00;7636,700
04.04.2024 11:00:00;04.04.2024 12:00:00;7268,600
04.04.2024 12:00:00;04.04.2024 13:00:00;6792,900
04.04.2024 13:00:00;04.04.2024 14:00:00;6767,000
04.04.2024 14:00:00;04.04.2024 15:00:00;6730,200
04.04.2024 15:00:00;04.04.2024 16:00:00;6801,800
04.04.2024 16:00:00;04.04.2024 17:00:00;7036,900
04.04.2024 17:00:00;04.04.2024 18:00:00;7200,900
04.04.2024 18:00:00;04.04.2024 19:00:00;7455,500
04.04.2024 19:00:00;04.04.2024 20:00:00;7660,700
04.04.2024 20:00:00;04.04.2024 21:00:00;7381,700
04.04.2024 21:00:00;04.04.2024 22:00:00;6802,800
04.04.2024 22:00:00;04.04.2024 23:00:00;6496,400
04.04.2024 23:00:00;05.04.2024 00:00:00;5986,100
05.04.2024 00:00:00;05.04.2024 01:00:00;5673,200
05.04.2024 01:00:00;05.04.2024 02:00:00;5364,400
05.04.2024 02:00:00;05.04.2024 03:00:00;5228,800
05.04.2024 03:00:00;05.04.2024 04:00:00;5148,600
05.04.2024 04:00:00;05.04.2024 05:00:00;5314,200
05.04.2024 05:00:00;05.04.2024 06:00:00;5991,100
05.04.2024 06:00:00;05.04.2024 07:00:00;7115,900
05.04.2024 07:00:00;05.04.2024 08:00:00;7732,700
05.04.2024 08:00:00;05.04.2024 09:00:00;7847,000
05.04.2024 09:00:00;05.04.2024 10:00:00;7763,900
05.04.2024 10:00:00;05.04.2024 11:00:00;7611,600
05.04.2024 11:00:00;05.04.2024 12:00:00;7372,700
05.04.2024 12:00:00;05.04.2024 13:00:00;6897,100
05.04.2024 13:00:00;05.04.2024 14:00:00;6522,000
05.04.2024 14:00:00;05.04.2024 15:00:00;6056,000
05.04.2024 15:00:00;05.04.2024 16:00:00;5891,400
05.04.2024 16:00:00;05.04.2024 17:00:00;5936,100
05.04.2024 17:00:00;05.04.2024 18:00:00;6399,500
05.04.2024 18:00:00;05.04.2024 19:00:00;6883,300
05.04.2024 19:00:00;05.04.2024 20:00:00;7143,000
05.04.2024 20:00:00;05.04.2024 21:00:00;6868,600
05.04.2024 21:00:00;05.04.2024 22:00:00;6355,400
05.04.2024 22:00:00;05.04.2024 23:00:00;5992,800
05.04.2024 23:00:00;06.04.2024 00:00:00;5560,800
06.04.2024 00:00:00;06.04.2024 01:00:00;5307,900
06.04.2024 01:00:00;06.04.2024 02:00:00;5025,700
06.04.2024 02:00:00;06.04.2024 03:00:00;4888,100
06.04.2024 03:00:00;06.04.2024 04:00:00;4735,000
06.04.2024 04:00:00;06.04.2024 05:00:00;4726,900
06.04.2024 05:00:00;06.04.2024 06:00:00;5006,500
06.04.2024 06:00:00;06.04.2024 07:00:00;5388,800
06.04.2024 07:00:00;06.04.2024 08:00:00;5708,200
06.04.2024 08:00:00;06.04.2024 09:00:00;6014,600
06.04.2024 09:00:00;06.04.2024 10:00:00;6092,700
06.04.2024 10:00:00;06.04.2024 11:00:00;5982,000
06.04.2024 11:00:00;06.04.2024 12:00:00;5793,400
06.04.2024 12:00:00;06.04.2024 13:00:00;5449,600
06.04.2024 13:00:00;06.04.2024 14:00:00;5176,000
06.04.2024 14:00:00;06.04.2024 15:00:00;5048,700
06.04.2024 15:00:00;06.04.2024 16:00:00;4955,700
06.04.2024 16:00:00;06.04.2024 17:00:00;5083,200
06.04.2024 17:00:00;06.04.2024 18:00:00;5426,400
06.04.2024 18:00:00;06.04.2024 19:00:00;5749,900
06.04.2024 19:00:00;06.04.2024 20:00:00;6089,400
06.04.2024 20:00:00;06.04.2024 21:00:00;6099,000
06.04.2024 21:00:00;06.04.2024 22:00:00;5676,000
06.04.2024 22:00:00;06.04.2024 23:00:00;5502,900
06.04.2024 23:00:00;07.04.2024 00:00:00;5133,100
07.04.2024 00:00:00;07.04.2024 01:00:00;4935,500
07.04.2024 01:00:00;07.04.2024 02:00:00;4661,300
07.04.2024 02:00:00;07.04.2024 03:00:00;4584,700
07.04.2024 03:00:00;07.04.2024 04:00:00;4463,000
07.04.2024 04:00:00;07.04.2024 05:00:00;4487,600
07.04.2024 05:00:00;07.04.2024 06:00:00;4645,500
07.04.2024 06:00:00;07.04.2024 07:00:00;4855,100
07.04.2024 07:00:00;07.04.2024 08:00:00;4995,400
07.04.2024 08:00:00;07.04.2024 09:00:00;5129,200
07.04.2024 09:00:00;07.04.2024 10:00:00;5212,000
07.04.2024 10:00:00;07.04.2024 11:00:00;5191,800
07.04.2024 11:00:00;07.04.2024 12:00:00;5159,700
07.04.2024 12:00:00;07.04.2024 13:00:00;4915,700
07.04.2024 13:00:00;07.04.2024 14:00:00;4763,000
07.04.2024 14:00:00;07.04.2024 15:00:00;4560,900
07.04.2024 15:00:00;07.04.2024 16:00:00;4467,200
07.04.2024 16:00:00;07.04.2024 17:00:00;4520,200
07.04.2024 17:00:00;07.04.2024 18:00:00;4902,000
07.04.2024 18:00:00;07.04.2024 19:00:00;5515,900
07.04.2024 19:00:00;07.04.2024 20:00:00;5970,600
07.04.2024 20:00:00;07.04.2024 21:00:00;5976,300
07.04.2024 21:00:00;07.04.2024 22:00:00;5618,600
07.04.2024 22:00:00;07.04.2024 23:00:00;5541,100
07.04.2024 23:00:00;08.04.2024 00:00:00;5191,600
