﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
06.03.2025 16:00:00;06.03.2025 17:00:00;7560,900
06.03.2025 17:00:00;06.03.2025 18:00:00;8129,000
06.03.2025 18:00:00;06.03.2025 19:00:00;8448,700
06.03.2025 19:00:00;06.03.2025 20:00:00;8237,800
06.03.2025 20:00:00;06.03.2025 21:00:00;7821,800
06.03.2025 21:00:00;06.03.2025 22:00:00;7266,100
06.03.2025 22:00:00;06.03.2025 23:00:00;7070,900
06.03.2025 23:00:00;07.03.2025 00:00:00;6697,400
07.03.2025 00:00:00;07.03.2025 01:00:00;6453,000
07.03.2025 01:00:00;07.03.2025 02:00:00;6340,100
07.03.2025 02:00:00;07.03.2025 03:00:00;6249,500
07.03.2025 03:00:00;07.03.2025 04:00:00;6183,500
07.03.2025 04:00:00;07.03.2025 05:00:00;6317,400
07.03.2025 05:00:00;07.03.2025 06:00:00;6886,200
07.03.2025 06:00:00;07.03.2025 07:00:00;7796,200
07.03.2025 07:00:00;07.03.2025 08:00:00;8116,000
07.03.2025 08:00:00;07.03.2025 09:00:00;8300,400
07.03.2025 09:00:00;07.03.2025 10:00:00;7983,900
07.03.2025 10:00:00;07.03.2025 11:00:00;7648,000
07.03.2025 11:00:00;07.03.2025 12:00:00;7370,400
07.03.2025 12:00:00;07.03.2025 13:00:00;7120,600
07.03.2025 13:00:00;07.03.2025 14:00:00;6970,600
07.03.2025 14:00:00;07.03.2025 15:00:00;6749,300
07.03.2025 15:00:00;07.03.2025 16:00:00;6976,800
07.03.2025 16:00:00;07.03.2025 17:00:00;7434,000
07.03.2025 17:00:00;07.03.2025 18:00:00;7999,800
07.03.2025 18:00:00;07.03.2025 19:00:00;8259,200
07.03.2025 19:00:00;07.03.2025 20:00:00;8058,100
07.03.2025 20:00:00;07.03.2025 21:00:00;7643,200
07.03.2025 21:00:00;07.03.2025 22:00:00;7111,300
07.03.2025 22:00:00;07.03.2025 23:00:00;6817,200
07.03.2025 23:00:00;08.03.2025 00:00:00;6377,500
08.03.2025 00:00:00;08.03.2025 01:00:00;6072,000
08.03.2025 01:00:00;08.03.2025 02:00:00;5811,500
08.03.2025 02:00:00;08.03.2025 03:00:00;5684,200
08.03.2025 03:00:00;08.03.2025 04:00:00;5614,100
08.03.2025 04:00:00;08.03.2025 05:00:00;5657,700
08.03.2025 05:00:00;08.03.2025 06:00:00;5939,100
08.03.2025 06:00:00;08.03.2025 07:00:00;6324,900
08.03.2025 07:00:00;08.03.2025 08:00:00;6579,200
08.03.2025 08:00:00;08.03.2025 09:00:00;6722,900
08.03.2025 09:00:00;08.03.2025 10:00:00;6537,500
08.03.2025 10:00:00;08.03.2025 11:00:00;6310,600
08.03.2025 11:00:00;08.03.2025 12:00:00;5977,200
08.03.2025 12:00:00;08.03.2025 13:00:00;5658,900
08.03.2025 13:00:00;08.03.2025 14:00:00;5578,100
08.03.2025 14:00:00;08.03.2025 15:00:00;5465,800
08.03.2025 15:00:00;08.03.2025 16:00:00;5705,900
08.03.2025 16:00:00;08.03.2025 17:00:00;6169,300
08.03.2025 17:00:00;08.03.2025 18:00:00;6818,900
08.03.2025 18:00:00;08.03.2025 19:00:00;7061,600
08.03.2025 19:00:00;08.03.2025 20:00:00;6921,400
08.03.2025 20:00:00;08.03.2025 21:00:00;6597,700
08.03.2025 21:00:00;08.03.2025 22:00:00;6259,600
08.03.2025 22:00:00;08.03.2025 23:00:00;6158,300
08.03.2025 23:00:00;09.03.2025 00:00:00;5803,300
09.03.2025 00:00:00;09.03.2025 01:00:00;5546,200
09.03.2025 01:00:00;09.03.2025 02:00:00;5307,900
09.03.2025 02:00:00;09.03.2025 03:00:00;5205,000
09.03.2025 03:00:00;09.03.2025 04:00:00;5121,400
09.03.2025 04:00:00;09.03.2025 05:00:00;5194,300
09.03.2025 05:00:00;09.03.2025 06:00:00;5396,300
