﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamt (inklusive anderer Generationstypen) [MW];Wind [MW];Solar [MW]
01.04.2024 00:00:00;01.04.2024 01:00:00;5733,400;2974,000;0,000
01.04.2024 01:00:00;01.04.2024 02:00:00;5621,400;2868,000;0,000
01.04.2024 02:00:00;01.04.2024 03:00:00;5617,400;2946,000;0,000
01.04.2024 03:00:00;01.04.2024 04:00:00;5641,300;3085,000;0,000
01.04.2024 04:00:00;01.04.2024 05:00:00;5754,700;3065,000;0,000
01.04.2024 05:00:00;01.04.2024 06:00:00;5799,800;3082,000;0,000
01.04.2024 06:00:00;01.04.2024 07:00:00;5980,200;3198,000;32,000
01.04.2024 07:00:00;01.04.2024 08:00:00;6099,500;3335,000;199,000
01.04.2024 08:00:00;01.04.2024 09:00:00;5836,500;3330,000;614,000
01.04.2024 09:00:00;01.04.2024 10:00:00;5948,200;3254,000;1308,000
01.04.2024 10:00:00;01.04.2024 11:00:00;5913,600;3203,000;1981,000
01.04.2024 11:00:00;01.04.2024 12:00:00;5909,400;3212,000;2439,000
01.04.2024 12:00:00;01.04.2024 13:00:00;5991,500;3223,000;2576,000
01.04.2024 13:00:00;01.04.2024 14:00:00;5922,700;3309,000;2512,000
01.04.2024 14:00:00;01.04.2024 15:00:00;5880,100;3269,000;2198,000
01.04.2024 15:00:00;01.04.2024 16:00:00;5759,200;3141,000;1780,000
01.04.2024 16:00:00;01.04.2024 17:00:00;5567,800;2876,000;1247,000
01.04.2024 17:00:00;01.04.2024 18:00:00;5320,000;2285,000;664,000
01.04.2024 18:00:00;01.04.2024 19:00:00;5401,400;2005,000;280,000
01.04.2024 19:00:00;01.04.2024 20:00:00;6130,400;2656,000;74,000
01.04.2024 20:00:00;01.04.2024 21:00:00;6458,300;3135,000;0,000
01.04.2024 21:00:00;01.04.2024 22:00:00;6167,400;3247,000;0,000
01.04.2024 22:00:00;01.04.2024 23:00:00;5929,800;3184,000;0,000
01.04.2024 23:00:00;02.04.2024 00:00:00;5786,300;2951,000;0,000
02.04.2024 00:00:00;02.04.2024 01:00:00;5797,600;2637,000;0,000
02.04.2024 01:00:00;02.04.2024 02:00:00;5658,300;2384,000;0,000
02.04.2024 02:00:00;02.04.2024 03:00:00;5685,000;2478,000;0,000
02.04.2024 03:00:00;02.04.2024 04:00:00;5730,000;2629,000;0,000
02.04.2024 04:00:00;02.04.2024 05:00:00;5784,800;2732,000;0,000
