﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamt (inklusive anderer Generationstypen) [MW];Wind [MW];Solar [MW]
07.10.2024 00:00:00;07.10.2024 01:00:00;5116,500;148,000;0,000
07.10.2024 01:00:00;07.10.2024 02:00:00;5065,500;183,000;0,000
07.10.2024 02:00:00;07.10.2024 03:00:00;5109,100;189,000;0,000
07.10.2024 03:00:00;07.10.2024 04:00:00;5110,800;183,000;0,000
07.10.2024 04:00:00;07.10.2024 05:00:00;5118,800;181,000;0,000
07.10.2024 05:00:00;07.10.2024 06:00:00;5215,000;175,000;0,000
07.10.2024 06:00:00;07.10.2024 07:00:00;6956,800;161,000;0,000
07.10.2024 07:00:00;07.10.2024 08:00:00;7830,200;146,000;86,000
07.10.2024 08:00:00;07.10.2024 09:00:00;7850,800;126,000;333,000
07.10.2024 09:00:00;07.10.2024 10:00:00;6907,200;112,000;822,000
07.10.2024 10:00:00;07.10.2024 11:00:00;5926,800;118,000;1392,000
07.10.2024 11:00:00;07.10.2024 12:00:00;5686,400;132,000;1870,000
07.10.2024 12:00:00;07.10.2024 13:00:00;5662,200;182,000;2239,000
07.10.2024 13:00:00;07.10.2024 14:00:00;5637,500;264,000;2343,000
07.10.2024 14:00:00;07.10.2024 15:00:00;5632,500;348,000;2136,000
07.10.2024 15:00:00;07.10.2024 16:00:00;5840,200;483,000;1618,000
07.10.2024 16:00:00;07.10.2024 17:00:00;7490,300;644,000;913,000
07.10.2024 17:00:00;07.10.2024 18:00:00;8299,000;841,000;391,000
07.10.2024 18:00:00;07.10.2024 19:00:00;8477,600;1075,000;80,000
07.10.2024 19:00:00;07.10.2024 20:00:00;8640,800;1324,000;0,000
07.10.2024 20:00:00;07.10.2024 21:00:00;8663,500;1434,000;0,000
07.10.2024 21:00:00;07.10.2024 22:00:00;7729,500;1415,000;0,000
07.10.2024 22:00:00;07.10.2024 23:00:00;7072,200;1397,000;0,000
07.10.2024 23:00:00;08.10.2024 00:00:00;6830,700;1343,000;0,000
08.10.2024 00:00:00;08.10.2024 01:00:00;5934,200;1306,000;0,000
08.10.2024 01:00:00;08.10.2024 02:00:00;5900,100;1377,000;0,000
08.10.2024 02:00:00;08.10.2024 03:00:00;5750,600;1577,000;0,000
08.10.2024 03:00:00;08.10.2024 04:00:00;5807,300;1678,000;0,000
08.10.2024 04:00:00;08.10.2024 05:00:00;5773,800;1660,000;0,000
08.10.2024 05:00:00;08.10.2024 06:00:00;5902,200;1533,000;0,000
08.10.2024 06:00:00;08.10.2024 07:00:00;8081,000;1327,000;0,000
08.10.2024 07:00:00;08.10.2024 08:00:00;8269,800;1156,000;81,000
08.10.2024 08:00:00;08.10.2024 09:00:00;8085,000;1052,000;283,000
08.10.2024 09:00:00;08.10.2024 10:00:00;6323,200;937,000;672,000
08.10.2024 10:00:00;08.10.2024 11:00:00;5729,900;903,000;1131,000
08.10.2024 11:00:00;08.10.2024 12:00:00;5729,900;1014,000;1523,000
08.10.2024 12:00:00;08.10.2024 13:00:00;5745,000;1349,000;1683,000
08.10.2024 13:00:00;08.10.2024 14:00:00;5696,500;1864,000;1575,000
08.10.2024 14:00:00;08.10.2024 15:00:00;5940,700;2386,000;1339,000
08.10.2024 15:00:00;08.10.2024 16:00:00;6436,700;2743,000;981,000
08.10.2024 16:00:00;08.10.2024 17:00:00;7475,200;3024,000;554,000
08.10.2024 17:00:00;08.10.2024 18:00:00;8604,700;3149,000;251,000
08.10.2024 18:00:00;08.10.2024 19:00:00;8671,000;3152,000;52,000
08.10.2024 19:00:00;08.10.2024 20:00:00;8716,100;3139,000;0,000
08.10.2024 20:00:00;08.10.2024 21:00:00;8696,000;3046,000;0,000
08.10.2024 21:00:00;08.10.2024 22:00:00;7016,300;2843,000;0,000
08.10.2024 22:00:00;08.10.2024 23:00:00;6597,200;2682,000;0,000
08.10.2024 23:00:00;09.10.2024 00:00:00;6205,400;2664,000;0,000
09.10.2024 00:00:00;09.10.2024 01:00:00;5923,700;2694,000;0,000
09.10.2024 01:00:00;09.10.2024 02:00:00;5800,500;2544,000;0,000
09.10.2024 02:00:00;09.10.2024 03:00:00;5541,900;2081,000;0,000
09.10.2024 03:00:00;09.10.2024 04:00:00;5371,300;1440,000;0,000
09.10.2024 04:00:00;09.10.2024 05:00:00;5188,400;979,000;0,000
09.10.2024 05:00:00;09.10.2024 06:00:00;5215,800;842,000;0,000
09.10.2024 06:00:00;09.10.2024 07:00:00;6239,500;880,000;0,000
09.10.2024 07:00:00;09.10.2024 08:00:00;6692,700;817,000;70,000
09.10.2024 08:00:00;09.10.2024 09:00:00;6834,100;625,000;210,000
09.10.2024 09:00:00;09.10.2024 10:00:00;6474,300;472,000;604,000
09.10.2024 10:00:00;09.10.2024 11:00:00;5613,400;315,000;1139,000
09.10.2024 11:00:00;09.10.2024 12:00:00;5557,000;185,000;1565,000
09.10.2024 12:00:00;09.10.2024 13:00:00;5642,600;130,000;1882,000
09.10.2024 13:00:00;09.10.2024 14:00:00;5648,400;157,000;1872,000
09.10.2024 14:00:00;09.10.2024 15:00:00;5578,100;300,000;1659,000
09.10.2024 15:00:00;09.10.2024 16:00:00;5662,300;592,000;1223,000
09.10.2024 16:00:00;09.10.2024 17:00:00;5852,100;966,000;682,000
09.10.2024 17:00:00;09.10.2024 18:00:00;7130,500;1379,000;298,000
