﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
02.12.2024 00:00:00;02.12.2024 01:00:00;6522,900
02.12.2024 01:00:00;02.12.2024 02:00:00;6263,700
02.12.2024 02:00:00;02.12.2024 03:00:00;6186,400
02.12.2024 03:00:00;02.12.2024 04:00:00;6201,500
02.12.2024 04:00:00;02.12.2024 05:00:00;6457,100
02.12.2024 05:00:00;02.12.2024 06:00:00;7262,600
02.12.2024 06:00:00;02.12.2024 07:00:00;8480,700
02.12.2024 07:00:00;02.12.2024 08:00:00;9389,100
02.12.2024 08:00:00;02.12.2024 09:00:00;9651,200
02.12.2024 09:00:00;02.12.2024 10:00:00;9385,100
02.12.2024 10:00:00;02.12.2024 11:00:00;9155,600
02.12.2024 11:00:00;02.12.2024 12:00:00;8884,200
02.12.2024 12:00:00;02.12.2024 13:00:00;8655,600
02.12.2024 13:00:00;02.12.2024 14:00:00;8740,600
02.12.2024 14:00:00;02.12.2024 15:00:00;8870,400
02.12.2024 15:00:00;02.12.2024 16:00:00;9219,500
02.12.2024 16:00:00;02.12.2024 17:00:00;9500,300
02.12.2024 17:00:00;02.12.2024 18:00:00;9540,200
02.12.2024 18:00:00;02.12.2024 19:00:00;9354,400
02.12.2024 19:00:00;02.12.2024 20:00:00;9003,700
02.12.2024 20:00:00;02.12.2024 21:00:00;8490,900
02.12.2024 21:00:00;02.12.2024 22:00:00;7949,500
02.12.2024 22:00:00;02.12.2024 23:00:00;7679,700
02.12.2024 23:00:00;03.12.2024 00:00:00;7201,700
03.12.2024 00:00:00;03.12.2024 01:00:00;6939,800
03.12.2024 01:00:00;03.12.2024 02:00:00;6664,700
03.12.2024 02:00:00;03.12.2024 03:00:00;6561,200
03.12.2024 03:00:00;03.12.2024 04:00:00;6494,300
03.12.2024 04:00:00;03.12.2024 05:00:00;6612,300
03.12.2024 05:00:00;03.12.2024 06:00:00;7362,800
03.12.2024 06:00:00;03.12.2024 07:00:00;8573,300
03.12.2024 07:00:00;03.12.2024 08:00:00;9433,900
03.12.2024 08:00:00;03.12.2024 09:00:00;9828,600
03.12.2024 09:00:00;03.12.2024 10:00:00;9867,000
03.12.2024 10:00:00;03.12.2024 11:00:00;9838,800
03.12.2024 11:00:00;03.12.2024 12:00:00;9739,200
03.12.2024 12:00:00;03.12.2024 13:00:00;9512,300
03.12.2024 13:00:00;03.12.2024 14:00:00;9542,200
03.12.2024 14:00:00;03.12.2024 15:00:00;9507,600
03.12.2024 15:00:00;03.12.2024 16:00:00;9605,900
03.12.2024 16:00:00;03.12.2024 17:00:00;9793,300
03.12.2024 17:00:00;03.12.2024 18:00:00;9756,700
03.12.2024 18:00:00;03.12.2024 19:00:00;9571,300
03.12.2024 19:00:00;03.12.2024 20:00:00;9144,800
03.12.2024 20:00:00;03.12.2024 21:00:00;8640,500
03.12.2024 21:00:00;03.12.2024 22:00:00;8063,100
03.12.2024 22:00:00;03.12.2024 23:00:00;7773,000
03.12.2024 23:00:00;04.12.2024 00:00:00;7280,000
04.12.2024 00:00:00;04.12.2024 01:00:00;6958,500
04.12.2024 01:00:00;04.12.2024 02:00:00;6672,100
04.12.2024 02:00:00;04.12.2024 03:00:00;6591,000
04.12.2024 03:00:00;04.12.2024 04:00:00;6532,400
04.12.2024 04:00:00;04.12.2024 05:00:00;6757,700
04.12.2024 05:00:00;04.12.2024 06:00:00;7473,700
04.12.2024 06:00:00;04.12.2024 07:00:00;8722,700
04.12.2024 07:00:00;04.12.2024 08:00:00;9544,600
04.12.2024 08:00:00;04.12.2024 09:00:00;9825,800
04.12.2024 09:00:00;04.12.2024 10:00:00;9663,800
04.12.2024 10:00:00;04.12.2024 11:00:00;9529,200
04.12.2024 11:00:00;04.12.2024 12:00:00;9463,400
04.12.2024 12:00:00;04.12.2024 13:00:00;9271,300
04.12.2024 13:00:00;04.12.2024 14:00:00;9282,900
04.12.2024 14:00:00;04.12.2024 15:00:00;9297,200
04.12.2024 15:00:00;04.12.2024 16:00:00;9503,900
04.12.2024 16:00:00;04.12.2024 17:00:00;9773,600
04.12.2024 17:00:00;04.12.2024 18:00:00;9865,700
04.12.2024 18:00:00;04.12.2024 19:00:00;9688,500
04.12.2024 19:00:00;04.12.2024 20:00:00;9327,900
04.12.2024 20:00:00;04.12.2024 21:00:00;8793,900
04.12.2024 21:00:00;04.12.2024 22:00:00;8302,200
04.12.2024 22:00:00;04.12.2024 23:00:00;8024,700
04.12.2024 23:00:00;05.12.2024 00:00:00;7537,100
05.12.2024 00:00:00;05.12.2024 01:00:00;7238,800
05.12.2024 01:00:00;05.12.2024 02:00:00;7004,600
05.12.2024 02:00:00;05.12.2024 03:00:00;6915,500
05.12.2024 03:00:00;05.12.2024 04:00:00;6931,300
05.12.2024 04:00:00;05.12.2024 05:00:00;7140,900
05.12.2024 05:00:00;05.12.2024 06:00:00;7904,300
05.12.2024 06:00:00;05.12.2024 07:00:00;9116,500
05.12.2024 07:00:00;05.12.2024 08:00:00;9984,000
05.12.2024 08:00:00;05.12.2024 09:00:00;10187,100
05.12.2024 09:00:00;05.12.2024 10:00:00;9755,500
05.12.2024 10:00:00;05.12.2024 11:00:00;9380,500
05.12.2024 11:00:00;05.12.2024 12:00:00;9079,300
05.12.2024 12:00:00;05.12.2024 13:00:00;8771,500
05.12.2024 13:00:00;05.12.2024 14:00:00;8846,400
05.12.2024 14:00:00;05.12.2024 15:00:00;9050,700
05.12.2024 15:00:00;05.12.2024 16:00:00;9455,800
05.12.2024 16:00:00;05.12.2024 17:00:00;9900,100
05.12.2024 17:00:00;05.12.2024 18:00:00;9898,300
05.12.2024 18:00:00;05.12.2024 19:00:00;9733,600
05.12.2024 19:00:00;05.12.2024 20:00:00;9386,500
05.12.2024 20:00:00;05.12.2024 21:00:00;8915,200
05.12.2024 21:00:00;05.12.2024 22:00:00;8405,900
05.12.2024 22:00:00;05.12.2024 23:00:00;8138,500
05.12.2024 23:00:00;06.12.2024 00:00:00;7653,700
06.12.2024 00:00:00;06.12.2024 01:00:00;7286,900
06.12.2024 01:00:00;06.12.2024 02:00:00;6984,900
06.12.2024 02:00:00;06.12.2024 03:00:00;6862,300
06.12.2024 03:00:00;06.12.2024 04:00:00;6835,400
