﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamt (inklusive anderer Generationstypen) [MW];Wind [MW];Solar [MW]
01.07.2024 00:00:00;01.07.2024 01:00:00;7504,000;1556,000;0,000
01.07.2024 01:00:00;01.07.2024 02:00:00;6569,400;1716,000;0,000
01.07.2024 02:00:00;01.07.2024 03:00:00;6667,900;2029,000;0,000
01.07.2024 03:00:00;01.07.2024 04:00:00;6765,800;2218,000;0,000
01.07.2024 04:00:00;01.07.2024 05:00:00;6647,000;2168,000;0,000
01.07.2024 05:00:00;01.07.2024 06:00:00;6877,300;1964,000;111,000
01.07.2024 06:00:00;01.07.2024 07:00:00;7162,100;1898,000;233,000
01.07.2024 07:00:00;01.07.2024 08:00:00;8836,400;1886,000;464,000
01.07.2024 08:00:00;01.07.2024 09:00:00;8672,600;1752,000;806,000
01.07.2024 09:00:00;01.07.2024 10:00:00;8451,700;1650,000;1202,000
01.07.2024 10:00:00;01.07.2024 11:00:00;8035,900;1569,000;1606,000
01.07.2024 11:00:00;01.07.2024 12:00:00;6586,400;1306,000;1763,000
01.07.2024 12:00:00;01.07.2024 13:00:00;6486,800;899,000;2045,000
01.07.2024 13:00:00;01.07.2024 14:00:00;6450,200;572,000;2377,000
01.07.2024 14:00:00;01.07.2024 15:00:00;6363,700;411,000;2304,000
01.07.2024 15:00:00;01.07.2024 16:00:00;6307,800;306,000;2055,000
01.07.2024 16:00:00;01.07.2024 17:00:00;6488,100;268,000;1712,000
01.07.2024 17:00:00;01.07.2024 18:00:00;7022,000;272,000;1307,000
01.07.2024 18:00:00;01.07.2024 19:00:00;7217,900;313,000;824,000
01.07.2024 19:00:00;01.07.2024 20:00:00;7606,400;417,000;395,000
01.07.2024 20:00:00;01.07.2024 21:00:00;7587,300;574,000;185,000
01.07.2024 21:00:00;01.07.2024 22:00:00;8679,700;752,000;3,000
01.07.2024 22:00:00;01.07.2024 23:00:00;8851,100;1026,000;0,000
01.07.2024 23:00:00;02.07.2024 00:00:00;7651,700;1332,000;0,000
02.07.2024 00:00:00;02.07.2024 01:00:00;6469,300;1535,000;0,000
02.07.2024 01:00:00;02.07.2024 02:00:00;6456,600;1736,000;0,000
02.07.2024 02:00:00;02.07.2024 03:00:00;6456,500;1935,000;0,000
02.07.2024 03:00:00;02.07.2024 04:00:00;6532,100;2161,000;0,000
02.07.2024 04:00:00;02.07.2024 05:00:00;6560,800;2318,000;0,000
02.07.2024 05:00:00;02.07.2024 06:00:00;6699,100;2439,000;112,000
02.07.2024 06:00:00;02.07.2024 07:00:00;7632,700;2547,000;306,000
02.07.2024 07:00:00;02.07.2024 08:00:00;8935,600;2612,000;789,000
02.07.2024 08:00:00;02.07.2024 09:00:00;8717,600;2649,000;1503,000
02.07.2024 09:00:00;02.07.2024 10:00:00;7049,800;2610,000;2210,000
02.07.2024 10:00:00;02.07.2024 11:00:00;7020,100;2594,000;2777,000
02.07.2024 11:00:00;02.07.2024 12:00:00;7097,300;2575,000;3156,000
02.07.2024 12:00:00;02.07.2024 13:00:00;7167,100;2467,000;3344,000
02.07.2024 13:00:00;02.07.2024 14:00:00;7122,000;2373,000;3554,000
02.07.2024 14:00:00;02.07.2024 15:00:00;6777,600;2302,000;3428,000
02.07.2024 15:00:00;02.07.2024 16:00:00;6716,300;2205,000;3073,000
02.07.2024 16:00:00;02.07.2024 17:00:00;6956,000;2082,000;2542,000
02.07.2024 17:00:00;02.07.2024 18:00:00;6977,800;1839,000;1862,000
02.07.2024 18:00:00;02.07.2024 19:00:00;7397,000;1576,000;1088,000
02.07.2024 19:00:00;02.07.2024 20:00:00;7633,000;1377,000;484,000
02.07.2024 20:00:00;02.07.2024 21:00:00;7932,200;1187,000;209,000
02.07.2024 21:00:00;02.07.2024 22:00:00;8648,000;1031,000;3,000
02.07.2024 22:00:00;02.07.2024 23:00:00;8482,800;956,000;0,000
02.07.2024 23:00:00;03.07.2024 00:00:00;7597,200;916,000;0,000
03.07.2024 00:00:00;03.07.2024 01:00:00;6131,900;854,000;0,000
03.07.2024 01:00:00;03.07.2024 02:00:00;6097,800;859,000;0,000
03.07.2024 02:00:00;03.07.2024 03:00:00;6009,800;838,000;0,000
03.07.2024 03:00:00;03.07.2024 04:00:00;5992,900;781,000;0,000
03.07.2024 04:00:00;03.07.2024 05:00:00;6060,000;722,000;0,000
03.07.2024 05:00:00;03.07.2024 06:00:00;6384,100;675,000;107,000
03.07.2024 06:00:00;03.07.2024 07:00:00;7549,300;609,000;242,000
03.07.2024 07:00:00;03.07.2024 08:00:00;8412,800;513,000;544,000
03.07.2024 08:00:00;03.07.2024 09:00:00;8145,100;481,000;1030,000
03.07.2024 09:00:00;03.07.2024 10:00:00;7328,900;509,000;1581,000
03.07.2024 10:00:00;03.07.2024 11:00:00;6748,600;507,000;2088,000
03.07.2024 11:00:00;03.07.2024 12:00:00;6595,200;484,000;2426,000
03.07.2024 12:00:00;03.07.2024 13:00:00;6669,100;415,000;2750,000
03.07.2024 13:00:00;03.07.2024 14:00:00;6724,200;347,000;2955,000
03.07.2024 14:00:00;03.07.2024 15:00:00;6732,800;307,000;2888,000
03.07.2024 15:00:00;03.07.2024 16:00:00;6702,700;230,000;2594,000
03.07.2024 16:00:00;03.07.2024 17:00:00;7091,900;169,000;2158,000
03.07.2024 17:00:00;03.07.2024 18:00:00;6571,800;150,000;1567,000
03.07.2024 18:00:00;03.07.2024 19:00:00;8053,300;125,000;910,000
03.07.2024 19:00:00;03.07.2024 20:00:00;7910,100;119,000;415,000
03.07.2024 20:00:00;03.07.2024 21:00:00;7930,600;180,000;187,000
03.07.2024 21:00:00;03.07.2024 22:00:00;8173,800;247,000;2,000
03.07.2024 22:00:00;03.07.2024 23:00:00;8043,100;249,000;0,000
03.07.2024 23:00:00;04.07.2024 00:00:00;6174,200;305,000;0,000
04.07.2024 00:00:00;04.07.2024 01:00:00;6279,200;471,000;0,000
04.07.2024 01:00:00;04.07.2024 02:00:00;5561,900;703,000;0,000
04.07.2024 02:00:00;04.07.2024 03:00:00;5317,100;988,000;0,000
04.07.2024 03:00:00;04.07.2024 04:00:00;5375,500;1316,000;0,000
04.07.2024 04:00:00;04.07.2024 05:00:00;5496,200;1584,000;0,000
04.07.2024 05:00:00;04.07.2024 06:00:00;5683,200;1777,000;107,000
04.07.2024 06:00:00;04.07.2024 07:00:00;6581,100;1900,000;296,000
04.07.2024 07:00:00;04.07.2024 08:00:00;6703,400;2035,000;769,000
04.07.2024 08:00:00;04.07.2024 09:00:00;6264,500;1990,000;1481,000
04.07.2024 09:00:00;04.07.2024 10:00:00;6193,800;1693,000;2230,000
04.07.2024 10:00:00;04.07.2024 11:00:00;6111,700;1408,000;2893,000
04.07.2024 11:00:00;04.07.2024 12:00:00;6069,000;1221,000;3280,000
04.07.2024 12:00:00;04.07.2024 13:00:00;5969,700;988,000;3379,000
04.07.2024 13:00:00;04.07.2024 14:00:00;5817,700;842,000;3471,000
04.07.2024 14:00:00;04.07.2024 15:00:00;5705,300;788,000;3368,000
04.07.2024 15:00:00;04.07.2024 16:00:00;5615,000;733,000;3039,000
04.07.2024 16:00:00;04.07.2024 17:00:00;5601,800;686,000;2562,000
04.07.2024 17:00:00;04.07.2024 18:00:00;5567,000;617,000;1890,000
04.07.2024 18:00:00;04.07.2024 19:00:00;5509,800;510,000;1102,000
04.07.2024 19:00:00;04.07.2024 20:00:00;6932,300;412,000;491,000
04.07.2024 20:00:00;04.07.2024 21:00:00;7962,900;395,000;211,000
04.07.2024 21:00:00;04.07.2024 22:00:00;8115,600;446,000;2,000
04.07.2024 22:00:00;04.07.2024 23:00:00;7964,100;573,000;0,000
04.07.2024 23:00:00;05.07.2024 00:00:00;6304,400;754,000;0,000
05.07.2024 00:00:00;05.07.2024 01:00:00;5404,400;912,000;0,000
05.07.2024 01:00:00;05.07.2024 02:00:00;5406,500;1066,000;0,000
05.07.2024 02:00:00;05.07.2024 03:00:00;5408,800;1176,000;0,000
05.07.2024 03:00:00;05.07.2024 04:00:00;5347,000;1257,000;0,000
05.07.2024 04:00:00;05.07.2024 05:00:00;5311,500;1240,000;0,000
05.07.2024 05:00:00;05.07.2024 06:00:00;5351,000;1154,000;105,000
05.07.2024 06:00:00;05.07.2024 07:00:00;5441,600;1018,000;306,000
05.07.2024 07:00:00;05.07.2024 08:00:00;5504,400;832,000;830,000
05.07.2024 08:00:00;05.07.2024 09:00:00;5582,200;770,000;1663,000
05.07.2024 09:00:00;05.07.2024 10:00:00;5633,700;871,000;2543,000
05.07.2024 10:00:00;05.07.2024 11:00:00;5704,300;882,000;3237,000
05.07.2024 11:00:00;05.07.2024 12:00:00;5723,800;836,000;3701,000
05.07.2024 12:00:00;05.07.2024 13:00:00;5689,000;764,000;3823,000
05.07.2024 13:00:00;05.07.2024 14:00:00;5639,200;645,000;3686,000
05.07.2024 14:00:00;05.07.2024 15:00:00;5565,200;547,000;3469,000
05.07.2024 15:00:00;05.07.2024 16:00:00;5462,300;501,000;3136,000
05.07.2024 16:00:00;05.07.2024 17:00:00;5449,600;498,000;2623,000
05.07.2024 17:00:00;05.07.2024 18:00:00;5438,900;481,000;1940,000
05.07.2024 18:00:00;05.07.2024 19:00:00;5544,400;444,000;1141,000
05.07.2024 19:00:00;05.07.2024 20:00:00;6312,000;474,000;506,000
05.07.2024 20:00:00;05.07.2024 21:00:00;7353,400;565,000;214,000
05.07.2024 21:00:00;05.07.2024 22:00:00;7793,800;635,000;2,000
05.07.2024 22:00:00;05.07.2024 23:00:00;7737,700;709,000;0,000
05.07.2024 23:00:00;06.07.2024 00:00:00;7255,200;775,000;0,000
06.07.2024 00:00:00;06.07.2024 01:00:00;6383,900;843,000;0,000
06.07.2024 01:00:00;06.07.2024 02:00:00;5818,900;824,000;0,000
06.07.2024 02:00:00;06.07.2024 03:00:00;5342,700;797,000;0,000
06.07.2024 03:00:00;06.07.2024 04:00:00;5370,000;887,000;0,000
06.07.2024 04:00:00;06.07.2024 05:00:00;5311,600;1045,000;0,000
06.07.2024 05:00:00;06.07.2024 06:00:00;5374,600;1317,000;111,000
06.07.2024 06:00:00;06.07.2024 07:00:00;5454,200;1515,000;379,000
06.07.2024 07:00:00;06.07.2024 08:00:00;5519,400;1537,000;1058,000
06.07.2024 08:00:00;06.07.2024 09:00:00;5558,400;1556,000;2050,000
06.07.2024 09:00:00;06.07.2024 10:00:00;5490,200;1752,000;3035,000
06.07.2024 10:00:00;06.07.2024 11:00:00;5532,200;2107,000;3887,000
06.07.2024 11:00:00;06.07.2024 12:00:00;5307,900;2512,000;4495,000
06.07.2024 12:00:00;06.07.2024 13:00:00;5181,200;2750,000;4669,000
06.07.2024 13:00:00;06.07.2024 14:00:00;5125,400;2868,000;4493,000
06.07.2024 14:00:00;06.07.2024 15:00:00;5096,600;2904,000;4251,000
06.07.2024 15:00:00;06.07.2024 16:00:00;5002,200;2883,000;3852,000
06.07.2024 16:00:00;06.07.2024 17:00:00;5069,900;2839,000;3208,000
06.07.2024 17:00:00;06.07.2024 18:00:00;5695,000;2804,000;2317,000
06.07.2024 18:00:00;06.07.2024 19:00:00;5723,400;2839,000;1325,000
06.07.2024 19:00:00;06.07.2024 20:00:00;5805,300;2874,000;576,000
06.07.2024 20:00:00;06.07.2024 21:00:00;5546,400;2847,000;232,000
06.07.2024 21:00:00;06.07.2024 22:00:00;5614,000;2855,000;2,000
06.07.2024 22:00:00;06.07.2024 23:00:00;5876,100;2688,000;0,000
06.07.2024 23:00:00;07.07.2024 00:00:00;5615,300;2250,000;0,000
07.07.2024 00:00:00;07.07.2024 01:00:00;5627,900;1757,000;0,000
07.07.2024 01:00:00;07.07.2024 02:00:00;5471,000;1595,000;0,000
07.07.2024 02:00:00;07.07.2024 03:00:00;5371,500;1502,000;0,000
07.07.2024 03:00:00;07.07.2024 04:00:00;5384,300;1304,000;0,000
07.07.2024 04:00:00;07.07.2024 05:00:00;5503,600;1232,000;0,000
07.07.2024 05:00:00;07.07.2024 06:00:00;5556,500;1175,000;95,000
07.07.2024 06:00:00;07.07.2024 07:00:00;5530,900;906,000;263,000
07.07.2024 07:00:00;07.07.2024 08:00:00;5254,200;612,000;617,000
07.07.2024 08:00:00;07.07.2024 09:00:00;5239,500;435,000;1141,000
07.07.2024 09:00:00;07.07.2024 10:00:00;5250,100;345,000;1648,000
07.07.2024 10:00:00;07.07.2024 11:00:00;5186,200;318,000;2145,000
07.07.2024 11:00:00;07.07.2024 12:00:00;5224,600;257,000;2481,000
07.07.2024 12:00:00;07.07.2024 13:00:00;5160,900;187,000;2875,000
07.07.2024 13:00:00;07.07.2024 14:00:00;5107,000;148,000;3302,000
07.07.2024 14:00:00;07.07.2024 15:00:00;5061,200;131,000;3324,000
07.07.2024 15:00:00;07.07.2024 16:00:00;4998,900;115,000;3009,000
07.07.2024 16:00:00;07.07.2024 17:00:00;4988,400;112,000;2481,000
07.07.2024 17:00:00;07.07.2024 18:00:00;5140,500;125,000;1801,000
07.07.2024 18:00:00;07.07.2024 19:00:00;5622,600;151,000;1045,000
07.07.2024 19:00:00;07.07.2024 20:00:00;6532,800;183,000;466,000
07.07.2024 20:00:00;07.07.2024 21:00:00;7239,700;247,000;190,000
07.07.2024 21:00:00;07.07.2024 22:00:00;7538,000;342,000;2,000
07.07.2024 22:00:00;07.07.2024 23:00:00;7736,700;448,000;0,000
07.07.2024 23:00:00;08.07.2024 00:00:00;7383,300;520,000;0,000
