﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
07.10.2024 00:00:00;07.10.2024 01:00:00;5406,400
07.10.2024 01:00:00;07.10.2024 02:00:00;5168,100
07.10.2024 02:00:00;07.10.2024 03:00:00;5148,200
07.10.2024 03:00:00;07.10.2024 04:00:00;5154,200
07.10.2024 04:00:00;07.10.2024 05:00:00;5288,400
07.10.2024 05:00:00;07.10.2024 06:00:00;6006,200
07.10.2024 06:00:00;07.10.2024 07:00:00;7361,800
07.10.2024 07:00:00;07.10.2024 08:00:00;8258,800
07.10.2024 08:00:00;07.10.2024 09:00:00;8363,400
07.10.2024 09:00:00;07.10.2024 10:00:00;8100,200
07.10.2024 10:00:00;07.10.2024 11:00:00;7814,700
07.10.2024 11:00:00;07.10.2024 12:00:00;7387,200
07.10.2024 12:00:00;07.10.2024 13:00:00;6840,800
07.10.2024 13:00:00;07.10.2024 14:00:00;6631,000
07.10.2024 14:00:00;07.10.2024 15:00:00;6419,500
07.10.2024 15:00:00;07.10.2024 16:00:00;6542,000
07.10.2024 16:00:00;07.10.2024 17:00:00;6918,400
07.10.2024 17:00:00;07.10.2024 18:00:00;7566,600
07.10.2024 18:00:00;07.10.2024 19:00:00;7974,300
07.10.2024 19:00:00;07.10.2024 20:00:00;7929,400
07.10.2024 20:00:00;07.10.2024 21:00:00;7400,600
07.10.2024 21:00:00;07.10.2024 22:00:00;6764,500
07.10.2024 22:00:00;07.10.2024 23:00:00;6376,600
07.10.2024 23:00:00;08.10.2024 00:00:00;5865,400
08.10.2024 00:00:00;08.10.2024 01:00:00;5678,700
08.10.2024 01:00:00;08.10.2024 02:00:00;5452,100
08.10.2024 02:00:00;08.10.2024 03:00:00;5335,700
08.10.2024 03:00:00;08.10.2024 04:00:00;5294,100
08.10.2024 04:00:00;08.10.2024 05:00:00;5393,400
08.10.2024 05:00:00;08.10.2024 06:00:00;6080,800
08.10.2024 06:00:00;08.10.2024 07:00:00;7441,800
08.10.2024 07:00:00;08.10.2024 08:00:00;8201,900
08.10.2024 08:00:00;08.10.2024 09:00:00;8343,200
08.10.2024 09:00:00;08.10.2024 10:00:00;8166,100
08.10.2024 10:00:00;08.10.2024 11:00:00;8042,300
08.10.2024 11:00:00;08.10.2024 12:00:00;7923,300
08.10.2024 12:00:00;08.10.2024 13:00:00;7449,300
08.10.2024 13:00:00;08.10.2024 14:00:00;7195,600
08.10.2024 14:00:00;08.10.2024 15:00:00;7280,000
08.10.2024 15:00:00;08.10.2024 16:00:00;7532,600
08.10.2024 16:00:00;08.10.2024 17:00:00;7886,800
08.10.2024 17:00:00;08.10.2024 18:00:00;8013,300
08.10.2024 18:00:00;08.10.2024 19:00:00;8153,300
08.10.2024 19:00:00;08.10.2024 20:00:00;7876,900
08.10.2024 20:00:00;08.10.2024 21:00:00;7357,400
08.10.2024 21:00:00;08.10.2024 22:00:00;6763,800
08.10.2024 22:00:00;08.10.2024 23:00:00;6426,700
08.10.2024 23:00:00;09.10.2024 00:00:00;6003,500
09.10.2024 00:00:00;09.10.2024 01:00:00;5692,700
09.10.2024 01:00:00;09.10.2024 02:00:00;5389,600
09.10.2024 02:00:00;09.10.2024 03:00:00;5289,400
09.10.2024 03:00:00;09.10.2024 04:00:00;5228,400
09.10.2024 04:00:00;09.10.2024 05:00:00;5419,300
09.10.2024 05:00:00;09.10.2024 06:00:00;6047,000
09.10.2024 06:00:00;09.10.2024 07:00:00;7331,300
09.10.2024 07:00:00;09.10.2024 08:00:00;8179,000
09.10.2024 08:00:00;09.10.2024 09:00:00;8332,200
09.10.2024 09:00:00;09.10.2024 10:00:00;8151,900
09.10.2024 10:00:00;09.10.2024 11:00:00;7878,000
09.10.2024 11:00:00;09.10.2024 12:00:00;7620,200
09.10.2024 12:00:00;09.10.2024 13:00:00;7163,500
09.10.2024 13:00:00;09.10.2024 14:00:00;6914,500
09.10.2024 14:00:00;09.10.2024 15:00:00;6800,700
09.10.2024 15:00:00;09.10.2024 16:00:00;7000,100
09.10.2024 16:00:00;09.10.2024 17:00:00;7301,500
09.10.2024 17:00:00;09.10.2024 18:00:00;7721,700
09.10.2024 18:00:00;09.10.2024 19:00:00;8068,000
09.10.2024 19:00:00;09.10.2024 20:00:00;7875,500
09.10.2024 20:00:00;09.10.2024 21:00:00;7323,000
09.10.2024 21:00:00;09.10.2024 22:00:00;6739,800
09.10.2024 22:00:00;09.10.2024 23:00:00;6439,000
09.10.2024 23:00:00;10.10.2024 00:00:00;5949,100
10.10.2024 00:00:00;10.10.2024 01:00:00;5717,800
10.10.2024 01:00:00;10.10.2024 02:00:00;5478,100
10.10.2024 02:00:00;10.10.2024 03:00:00;5426,600
10.10.2024 03:00:00;10.10.2024 04:00:00;5301,600
10.10.2024 04:00:00;10.10.2024 05:00:00;5473,900
10.10.2024 05:00:00;10.10.2024 06:00:00;6079,000
10.10.2024 06:00:00;10.10.2024 07:00:00;7237,300
10.10.2024 07:00:00;10.10.2024 08:00:00;8002,900
10.10.2024 08:00:00;10.10.2024 09:00:00;8137,600
10.10.2024 09:00:00;10.10.2024 10:00:00;8178,600
10.10.2024 10:00:00;10.10.2024 11:00:00;8404,400
10.10.2024 11:00:00;10.10.2024 12:00:00;8351,600
10.10.2024 12:00:00;10.10.2024 13:00:00;8220,800
10.10.2024 13:00:00;10.10.2024 14:00:00;8444,500
10.10.2024 14:00:00;10.10.2024 15:00:00;8410,200
10.10.2024 15:00:00;10.10.2024 16:00:00;8242,400
10.10.2024 16:00:00;10.10.2024 17:00:00;8283,900
10.10.2024 17:00:00;10.10.2024 18:00:00;8374,700
10.10.2024 18:00:00;10.10.2024 19:00:00;8406,900
10.10.2024 19:00:00;10.10.2024 20:00:00;8135,900
10.10.2024 20:00:00;10.10.2024 21:00:00;7582,000
10.10.2024 21:00:00;10.10.2024 22:00:00;6948,400
10.10.2024 22:00:00;10.10.2024 23:00:00;6577,000
10.10.2024 23:00:00;11.10.2024 00:00:00;6114,500
11.10.2024 00:00:00;11.10.2024 01:00:00;5851,500
11.10.2024 01:00:00;11.10.2024 02:00:00;5561,800
11.10.2024 02:00:00;11.10.2024 03:00:00;5495,400
11.10.2024 03:00:00;11.10.2024 04:00:00;5439,700
11.10.2024 04:00:00;11.10.2024 05:00:00;5505,100
11.10.2024 05:00:00;11.10.2024 06:00:00;6150,300
11.10.2024 06:00:00;11.10.2024 07:00:00;7364,600
11.10.2024 07:00:00;11.10.2024 08:00:00;8103,800
11.10.2024 08:00:00;11.10.2024 09:00:00;8257,000
11.10.2024 09:00:00;11.10.2024 10:00:00;7992,400
11.10.2024 10:00:00;11.10.2024 11:00:00;7883,700
11.10.2024 11:00:00;11.10.2024 12:00:00;7650,000
11.10.2024 12:00:00;11.10.2024 13:00:00;7261,800
11.10.2024 13:00:00;11.10.2024 14:00:00;7110,900
11.10.2024 14:00:00;11.10.2024 15:00:00;6972,700
11.10.2024 15:00:00;11.10.2024 16:00:00;6962,400
11.10.2024 16:00:00;11.10.2024 17:00:00;7232,600
11.10.2024 17:00:00;11.10.2024 18:00:00;7637,700
11.10.2024 18:00:00;11.10.2024 19:00:00;7840,600
11.10.2024 19:00:00;11.10.2024 20:00:00;7598,800
11.10.2024 20:00:00;11.10.2024 21:00:00;7107,300
11.10.2024 21:00:00;11.10.2024 22:00:00;6524,800
11.10.2024 22:00:00;11.10.2024 23:00:00;6260,900
11.10.2024 23:00:00;12.10.2024 00:00:00;5834,800
12.10.2024 00:00:00;12.10.2024 01:00:00;5586,100
12.10.2024 01:00:00;12.10.2024 02:00:00;5302,600
12.10.2024 02:00:00;12.10.2024 03:00:00;5217,000
12.10.2024 03:00:00;12.10.2024 04:00:00;5096,900
12.10.2024 04:00:00;12.10.2024 05:00:00;5084,900
12.10.2024 05:00:00;12.10.2024 06:00:00;5386,100
12.10.2024 06:00:00;12.10.2024 07:00:00;5855,400
12.10.2024 07:00:00;12.10.2024 08:00:00;6298,700
12.10.2024 08:00:00;12.10.2024 09:00:00;6510,000
12.10.2024 09:00:00;12.10.2024 10:00:00;6449,200
12.10.2024 10:00:00;12.10.2024 11:00:00;6304,600
12.10.2024 11:00:00;12.10.2024 12:00:00;6155,000
12.10.2024 12:00:00;12.10.2024 13:00:00;5818,100
12.10.2024 13:00:00;12.10.2024 14:00:00;5636,800
12.10.2024 14:00:00;12.10.2024 15:00:00;5639,000
12.10.2024 15:00:00;12.10.2024 16:00:00;5771,600
12.10.2024 16:00:00;12.10.2024 17:00:00;6059,200
12.10.2024 17:00:00;12.10.2024 18:00:00;6533,600
12.10.2024 18:00:00;12.10.2024 19:00:00;6814,500
