﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamt (inklusive anderer Generationstypen) [MW];Wind [MW];Solar [MW]
02.12.2024 00:00:00;02.12.2024 01:00:00;4050,400;847,000;0,000
02.12.2024 01:00:00;02.12.2024 02:00:00;3994,300;897,000;0,000
02.12.2024 02:00:00;02.12.2024 03:00:00;3751,200;915,000;0,000
02.12.2024 03:00:00;02.12.2024 04:00:00;3779,800;916,000;0,000
02.12.2024 04:00:00;02.12.2024 05:00:00;3865,100;915,000;0,000
02.12.2024 05:00:00;02.12.2024 06:00:00;4748,100;929,000;0,000
02.12.2024 06:00:00;02.12.2024 07:00:00;5823,700;959,000;0,000
02.12.2024 07:00:00;02.12.2024 08:00:00;6881,500;988,000;27,000
02.12.2024 08:00:00;02.12.2024 09:00:00;6904,100;1027,000;255,000
02.12.2024 09:00:00;02.12.2024 10:00:00;6794,000;1046,000;594,000
02.12.2024 10:00:00;02.12.2024 11:00:00;6090,300;1020,000;858,000
02.12.2024 11:00:00;02.12.2024 12:00:00;5944,400;995,000;1028,000
02.12.2024 12:00:00;02.12.2024 13:00:00;5884,600;991,000;972,000
02.12.2024 13:00:00;02.12.2024 14:00:00;5844,200;944,000;758,000
02.12.2024 14:00:00;02.12.2024 15:00:00;6114,700;939,000;475,000
02.12.2024 15:00:00;02.12.2024 16:00:00;7443,500;1027,000;223,000
02.12.2024 16:00:00;02.12.2024 17:00:00;8009,800;1219,000;19,000
02.12.2024 17:00:00;02.12.2024 18:00:00;7564,000;1474,000;0,000
02.12.2024 18:00:00;02.12.2024 19:00:00;8046,800;1734,000;0,000
02.12.2024 19:00:00;02.12.2024 20:00:00;8027,100;1911,000;0,000
02.12.2024 20:00:00;02.12.2024 21:00:00;6783,400;2020,000;0,000
02.12.2024 21:00:00;02.12.2024 22:00:00;6054,500;2083,000;0,000
02.12.2024 22:00:00;02.12.2024 23:00:00;5982,900;2057,000;0,000
02.12.2024 23:00:00;03.12.2024 00:00:00;5681,800;1983,000;0,000
03.12.2024 00:00:00;03.12.2024 01:00:00;4689,400;1985,000;0,000
03.12.2024 01:00:00;03.12.2024 02:00:00;4431,600;2070,000;0,000
03.12.2024 02:00:00;03.12.2024 03:00:00;4288,700;2107,000;0,000
03.12.2024 03:00:00;03.12.2024 04:00:00;4166,000;2025,000;0,000
03.12.2024 04:00:00;03.12.2024 05:00:00;4194,500;1741,000;0,000
03.12.2024 05:00:00;03.12.2024 06:00:00;5064,800;1272,000;0,000
03.12.2024 06:00:00;03.12.2024 07:00:00;6193,600;914,000;0,000
03.12.2024 07:00:00;03.12.2024 08:00:00;8485,000;751,000;23,000
03.12.2024 08:00:00;03.12.2024 09:00:00;8889,000;627,000;138,000
03.12.2024 09:00:00;03.12.2024 10:00:00;8787,300;438,000;260,000
03.12.2024 10:00:00;03.12.2024 11:00:00;8600,800;280,000;365,000
03.12.2024 11:00:00;03.12.2024 12:00:00;7979,300;190,000;423,000
03.12.2024 12:00:00;03.12.2024 13:00:00;8332,200;146,000;429,000
03.12.2024 13:00:00;03.12.2024 14:00:00;8191,700;120,000;368,000
03.12.2024 14:00:00;03.12.2024 15:00:00;8778,400;105,000;243,000
03.12.2024 15:00:00;03.12.2024 16:00:00;8915,100;106,000;132,000
03.12.2024 16:00:00;03.12.2024 17:00:00;9147,000;118,000;12,000
03.12.2024 17:00:00;03.12.2024 18:00:00;9356,000;126,000;0,000
03.12.2024 18:00:00;03.12.2024 19:00:00;9372,800;130,000;0,000
03.12.2024 19:00:00;03.12.2024 20:00:00;9218,600;131,000;0,000
03.12.2024 20:00:00;03.12.2024 21:00:00;8437,400;140,000;0,000
03.12.2024 21:00:00;03.12.2024 22:00:00;6307,500;162,000;0,000
03.12.2024 22:00:00;03.12.2024 23:00:00;5741,900;186,000;0,000
03.12.2024 23:00:00;04.12.2024 00:00:00;5380,600;206,000;0,000
04.12.2024 00:00:00;04.12.2024 01:00:00;5032,600;222,000;0,000
04.12.2024 01:00:00;04.12.2024 02:00:00;4688,200;239,000;0,000
04.12.2024 02:00:00;04.12.2024 03:00:00;4613,900;260,000;0,000
